filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
AET,AET,8/15/2014,4858437,2568728,1.891379
AET,AET,7/31/2014,3813401,3014745,1.264917
AET,AET,7/15/2014,4707252,1903966,2.472340
AET,AET,6/30/2014,5104098,1751079,2.914830
AET,AET,6/13/2014,5214300,2070976,2.517798
AET,AET,5/30/2014,4088402,1942770,2.104419
AET,AET,5/15/2014,4173390,2351322,1.774912
AET,AET,4/30/2014,4047226,4592245,1.000000
AET,AET,4/15/2014,4547274,2196953,2.069809
AET,AET,3/31/2014,5066489,2120745,2.389014
AET,AET,3/14/2014,5311073,2320532,2.288731
AET,AET,2/28/2014,3976977,2346031,1.695194
AET,AET,2/14/2014,3817784,3938744,1.000000
AET,AET,1/31/2014,4293029,2335272,1.838342
AET,AET,1/15/2014,4897543,2341827,2.091334
AET,AET,12/31/2013,4022135,2050373,1.961660
AET,AET,12/13/2013,4724484,3393778,1.392102
AET,AET,11/29/2013,5361627,2553878,2.099406
AET,AET,11/15/2013,5427677,2610851,2.078892
AET,AET,10/31/2013,5361274,4141519,1.294519
AET,AET,10/15/2013,5220000,2341996,2.228868
AET,AET,9/30/2013,5450271,3298001,1.652598
AET,AET,9/13/2013,5403224,2385422,2.265102
AET,AET,8/30/2013,3754847,1999092,1.878276
AET,AET,8/15/2013,3500670,1930251,1.813583
