filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
ALOG,ALOG,8/15/2014,435583,48434,8.993331
ALOG,ALOG,7/31/2014,504632,55359,9.115627
ALOG,ALOG,7/15/2014,533040,76855,6.935658
ALOG,ALOG,6/30/2014,560751,94212,5.952012
ALOG,ALOG,6/13/2014,545832,118869,4.591878
ALOG,ALOG,5/30/2014,525095,138772,3.783869
ALOG,ALOG,5/15/2014,509181,111900,4.550322
ALOG,ALOG,4/30/2014,571937,74232,7.704723
ALOG,ALOG,4/15/2014,596755,101271,5.892654
ALOG,ALOG,3/31/2014,529788,104009,5.093675
ALOG,ALOG,3/14/2014,489763,246596,1.986095
ALOG,ALOG,2/28/2014,393230,69420,5.664506
ALOG,ALOG,2/14/2014,426676,61029,6.991365
ALOG,ALOG,1/31/2014,360498,73554,4.901134
ALOG,ALOG,1/15/2014,296462,77791,3.811006
ALOG,ALOG,12/31/2013,352086,69596,5.058998
ALOG,ALOG,12/13/2013,346111,84798,4.081594
ALOG,ALOG,11/29/2013,307449,28286,10.869299
ALOG,ALOG,11/15/2013,326892,33123,9.869034
ALOG,ALOG,10/31/2013,358010,59965,5.970316
ALOG,ALOG,10/15/2013,377663,97339,3.879873
ALOG,ALOG,9/30/2013,263168,73218,3.594307
ALOG,ALOG,9/13/2013,345482,90660,3.810743
ALOG,ALOG,8/30/2013,324888,52254,6.217476
ALOG,ALOG,8/15/2013,317914,49508,6.421467
