filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
AOS,A.O.,8/15/2014,1115360,466306,2.391906
AOS,A.O.,7/31/2014,1155131,703314,1.642411
AOS,A.O.,7/15/2014,1234267,441547,2.795324
AOS,A.O.,6/30/2014,910373,459504,1.981208
AOS,A.O.,6/13/2014,806306,500508,1.610975
AOS,A.O.,5/30/2014,1129456,575887,1.961246
AOS,A.O.,5/15/2014,1351530,572079,2.362488
AOS,A.O.,4/30/2014,1324491,1030653,1.285099
AOS,A.O.,4/15/2014,1278414,762838,1.675866
AOS,A.O.,3/31/2014,1019920,698645,1.459854
AOS,A.O.,3/14/2014,1057960,642051,1.647782
AOS,A.O.,2/28/2014,1021726,574778,1.777601
AOS,A.O.,2/14/2014,998764,877863,1.137722
AOS,A.O.,1/31/2014,1143311,1290627,1.000000
AOS,A.O.,1/15/2014,1511988,673694,2.244325
AOS,A.O.,12/31/2013,1435180,606746,2.365372
AOS,A.O.,12/13/2013,1550580,473414,3.275315
AOS,A.O.,11/29/2013,1891686,489628,3.863517
AOS,A.O.,11/15/2013,2107751,1776796,1.186265
AOS,A.O.,10/31/2013,1337949,766330,1.745918
AOS,A.O.,10/15/2013,1787110,485857,3.678263
AOS,A.O.,9/30/2013,2007443,488774,4.107099
AOS,A.O.,9/13/2013,2615535,413085,6.331711
AOS,A.O.,8/30/2013,2670017,498934,5.351443
AOS,A.O.,8/15/2013,2047764,571389,3.583835
