filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
ARO,ARO,8/15/2014,21572029,2703700,7.978707
ARO,ARO,7/31/2014,23166478,2273856,10.188190
ARO,ARO,7/15/2014,24336161,2297926,10.590489
ARO,ARO,6/30/2014,24192494,2785156,8.686226
ARO,ARO,6/13/2014,21521903,2651427,8.117102
ARO,ARO,5/30/2014,20210855,5651994,3.575880
ARO,ARO,5/15/2014,20419462,2157587,9.464027
ARO,ARO,4/30/2014,20896323,2154949,9.696899
ARO,ARO,4/15/2014,21938697,3236076,6.779413
ARO,ARO,3/31/2014,22339778,6298656,3.546753
ARO,ARO,3/14/2014,19838578,7194147,2.757600
ARO,ARO,2/28/2014,20771767,2744273,7.569133
ARO,ARO,2/14/2014,20715533,3224450,6.424517
ARO,ARO,1/31/2014,22470104,2846862,7.892938
ARO,ARO,1/15/2014,22591364,4855921,4.652334
ARO,ARO,12/31/2013,24473602,2093006,11.693040
ARO,ARO,12/13/2013,23944496,3508751,6.824222
ARO,ARO,11/29/2013,22208664,3960240,5.607909
ARO,ARO,11/15/2013,21832538,2631444,8.296790
ARO,ARO,10/31/2013,19755400,1543668,12.797700
ARO,ARO,10/15/2013,20535337,2327519,8.822844
ARO,ARO,9/30/2013,16957529,4706497,3.603004
ARO,ARO,9/13/2013,16209620,5118629,3.166789
ARO,ARO,8/30/2013,14583307,6679162,2.183404
ARO,ARO,8/15/2013,12984965,3209054,4.046353
