filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
BAC,BAC,8/15/2014,103851135,60420034,1.718820
BAC,BAC,7/31/2014,102285138,67323592,1.519306
BAC,BAC,7/15/2014,95314680,69234366,1.376696
BAC,BAC,6/30/2014,103233733,59758475,1.727516
BAC,BAC,6/13/2014,106862341,59937892,1.782885
BAC,BAC,5/30/2014,93012599,64309675,1.446324
BAC,BAC,5/15/2014,88130900,74486342,1.183182
BAC,BAC,4/30/2014,107624635,120062793,1.000000
BAC,BAC,4/15/2014,102910447,94945629,1.083888
BAC,BAC,3/31/2014,111575739,109728457,1.016835
BAC,BAC,3/14/2014,119508930,113370882,1.054141
BAC,BAC,2/28/2014,154752820,105276929,1.469959
BAC,BAC,2/14/2014,110293995,115524048,1.000000
BAC,BAC,1/31/2014,95535298,115924339,1.000000
BAC,BAC,1/15/2014,100338530,131568620,1.000000
BAC,BAC,12/31/2013,113169353,73196097,1.546112
BAC,BAC,12/13/2013,119245769,85645738,1.392314
BAC,BAC,11/29/2013,134197196,117223429,1.144798
BAC,BAC,11/15/2013,117542492,91322494,1.287114
BAC,BAC,10/31/2013,120715200,93549302,1.290391
BAC,BAC,10/15/2013,125670547,84123462,1.493882
BAC,BAC,9/30/2013,128318201,97779971,1.312316
BAC,BAC,9/13/2013,140561290,71153921,1.975454
BAC,BAC,8/30/2013,140483015,90116226,1.558909
BAC,BAC,8/15/2013,144159758,85688551,1.682369
