filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
BFS,BFS,8/15/2014,178781,23732,7.533331
BFS,BFS,7/31/2014,193108,25733,7.504294
BFS,BFS,7/15/2014,186884,24010,7.783590
BFS,BFS,6/30/2014,150998,46672,3.235302
BFS,BFS,6/13/2014,146236,25359,5.766631
BFS,BFS,5/30/2014,129768,36308,3.574088
BFS,BFS,5/15/2014,137653,23557,5.843401
BFS,BFS,4/30/2014,115675,23038,5.021052
BFS,BFS,4/15/2014,110780,25695,4.311345
BFS,BFS,3/31/2014,99114,22637,4.378407
BFS,BFS,3/14/2014,111609,26220,4.256636
BFS,BFS,2/28/2014,100622,32222,3.122773
BFS,BFS,2/14/2014,107835,28814,3.742452
BFS,BFS,1/31/2014,94148,24661,3.817688
BFS,BFS,1/15/2014,80864,22280,3.629443
BFS,BFS,12/31/2013,88653,29243,3.031597
BFS,BFS,12/13/2013,91917,17927,5.127294
BFS,BFS,11/29/2013,103174,20688,4.987142
BFS,BFS,11/15/2013,83351,33418,2.494195
BFS,BFS,10/31/2013,81947,28153,2.910773
BFS,BFS,10/15/2013,114790,31969,3.590666
BFS,BFS,9/30/2013,109740,31122,3.526123
BFS,BFS,9/13/2013,128458,23033,5.577128
BFS,BFS,8/30/2013,117834,23082,5.105017
BFS,BFS,8/15/2013,106709,17658,6.043097
