filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CBOE,CBOE,8/15/2014,1739471,702808,2.475030
CBOE,CBOE,7/31/2014,1693898,766566,2.209722
CBOE,CBOE,7/15/2014,1715196,671263,2.555177
CBOE,CBOE,6/30/2014,1847163,802593,2.301494
CBOE,CBOE,6/13/2014,1943154,963346,2.017088
CBOE,CBOE,5/30/2014,1567591,642954,2.438108
CBOE,CBOE,5/15/2014,1653587,526147,3.142823
CBOE,CBOE,4/30/2014,1682256,409110,4.111989
CBOE,CBOE,4/15/2014,1675345,897119,1.867472
CBOE,CBOE,3/31/2014,1685936,713082,2.364295
CBOE,CBOE,3/14/2014,1667774,583874,2.856394
CBOE,CBOE,2/28/2014,1766206,502862,3.512308
CBOE,CBOE,2/14/2014,2062623,839446,2.457124
CBOE,CBOE,1/31/2014,2125307,748783,2.838348
CBOE,CBOE,1/15/2014,2230061,584836,3.813139
CBOE,CBOE,12/31/2013,2066930,524136,3.943499
CBOE,CBOE,12/13/2013,1968144,587586,3.349542
CBOE,CBOE,11/29/2013,1765814,487289,3.623751
CBOE,CBOE,11/15/2013,2086451,459351,4.542171
CBOE,CBOE,10/31/2013,1970309,615894,3.199104
CBOE,CBOE,10/15/2013,1850968,592428,3.124376
CBOE,CBOE,9/30/2013,2107406,527056,3.998448
CBOE,CBOE,9/13/2013,2091268,634147,3.297765
CBOE,CBOE,8/30/2013,2411343,424625,5.678759
CBOE,CBOE,8/15/2013,2798252,802897,3.485194
