filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CDR,CDR,8/15/2014,1700913,217026,7.837370
CDR,CDR,7/31/2014,1777436,286393,6.206283
CDR,CDR,7/15/2014,1888295,408211,4.625782
CDR,CDR,6/30/2014,1899258,315384,6.022049
CDR,CDR,6/13/2014,1866345,299676,6.227876
CDR,CDR,5/30/2014,1665316,499371,3.334827
CDR,CDR,5/15/2014,1353472,376284,3.596943
CDR,CDR,4/30/2014,1275309,277542,4.595013
CDR,CDR,4/15/2014,1221357,495963,2.462597
CDR,CDR,3/31/2014,1141979,562635,2.029698
CDR,CDR,3/14/2014,1090621,414124,2.633561
CDR,CDR,2/28/2014,840001,353740,2.374628
CDR,CDR,2/14/2014,918913,309474,2.969274
CDR,CDR,1/31/2014,954225,465083,2.051731
CDR,CDR,1/15/2014,1224154,903924,1.354267
CDR,CDR,12/31/2013,768331,249800,3.075785
CDR,CDR,12/13/2013,685464,304472,2.251320
CDR,CDR,11/29/2013,684894,176911,3.871404
CDR,CDR,11/15/2013,696508,170110,4.094457
CDR,CDR,10/31/2013,888186,247054,3.595109
CDR,CDR,10/15/2013,884926,209861,4.216724
CDR,CDR,9/30/2013,870154,423302,2.055634
CDR,CDR,9/13/2013,959968,226331,4.241434
CDR,CDR,8/30/2013,851601,410190,2.076114
CDR,CDR,8/15/2013,1680299,214667,7.827468
