filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CFNL,CFNL,8/15/2014,1316353,70612,18.642058
CFNL,CFNL,7/31/2014,1326860,80813,16.418893
CFNL,CFNL,7/15/2014,1327775,88527,14.998532
CFNL,CFNL,6/30/2014,1486013,135204,10.990895
CFNL,CFNL,6/13/2014,1425109,109219,13.048178
CFNL,CFNL,5/30/2014,1466001,191035,7.673992
CFNL,CFNL,5/15/2014,1519213,207472,7.322497
CFNL,CFNL,4/30/2014,1408248,158837,8.865995
CFNL,CFNL,4/15/2014,1376699,176942,7.780510
CFNL,CFNL,3/31/2014,1145537,251970,4.546323
CFNL,CFNL,3/14/2014,1287683,129598,9.935979
CFNL,CFNL,2/28/2014,1473501,152162,9.683765
CFNL,CFNL,2/14/2014,1411331,127320,11.084912
CFNL,CFNL,1/31/2014,1415494,282011,5.019286
CFNL,CFNL,1/15/2014,1498877,120235,12.466229
CFNL,CFNL,12/31/2013,1441158,198878,7.246443
CFNL,CFNL,12/13/2013,1382160,135318,10.214162
CFNL,CFNL,11/29/2013,1391966,150276,9.262730
CFNL,CFNL,11/15/2013,1551533,173242,8.955871
CFNL,CFNL,10/31/2013,1643478,175278,9.376408
CFNL,CFNL,10/15/2013,1503712,142454,10.555772
CFNL,CFNL,9/30/2013,1333643,421139,3.166753
CFNL,CFNL,9/13/2013,864380,194381,4.446834
CFNL,CFNL,8/30/2013,937345,143804,6.518212
CFNL,CFNL,8/15/2013,1109672,530882,2.090242
