filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CFR,CFR,8/15/2014,3373252,291414,11.575463
CFR,CFR,7/31/2014,3499744,279247,12.532790
CFR,CFR,7/15/2014,3417003,210094,16.264163
CFR,CFR,6/30/2014,3392254,271706,12.485017
CFR,CFR,6/13/2014,3457372,292667,11.813331
CFR,CFR,5/30/2014,3454685,222531,15.524511
CFR,CFR,5/15/2014,3583590,357677,10.019067
CFR,CFR,4/30/2014,3649467,424495,8.597197
CFR,CFR,4/15/2014,3784812,366239,10.334268
CFR,CFR,3/31/2014,4031784,436946,9.227191
CFR,CFR,3/14/2014,4131405,315032,13.114239
CFR,CFR,2/28/2014,4128833,251292,16.430420
CFR,CFR,2/14/2014,4106881,335688,12.234220
CFR,CFR,1/31/2014,4368842,696787,6.269982
CFR,CFR,1/15/2014,4338581,526559,8.239496
CFR,CFR,12/31/2013,4381237,233142,18.792140
CFR,CFR,12/13/2013,4482516,213745,20.971326
CFR,CFR,11/29/2013,4429400,267072,16.585041
CFR,CFR,11/15/2013,4652962,274505,16.950372
CFR,CFR,10/31/2013,4712146,453136,10.398966
CFR,CFR,10/15/2013,5119078,409230,12.509049
CFR,CFR,9/30/2013,5228534,447992,11.671043
CFR,CFR,9/13/2013,5828096,348077,16.743698
CFR,CFR,8/30/2013,5978402,389721,15.340210
CFR,CFR,8/15/2013,5804532,404547,14.348227
