filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CLNE,CLNE,8/15/2014,16203500,1075063,15.072140
CLNE,CLNE,7/31/2014,15452030,798817,19.343642
CLNE,CLNE,7/15/2014,15867340,1013821,15.651027
CLNE,CLNE,6/30/2014,15943108,1237679,12.881456
CLNE,CLNE,6/13/2014,16940721,1320141,12.832509
CLNE,CLNE,5/30/2014,16447144,1504615,10.931131
CLNE,CLNE,5/15/2014,17305534,2148609,8.054297
CLNE,CLNE,4/30/2014,17013806,1164136,14.614964
CLNE,CLNE,4/15/2014,17317016,1088898,15.903249
CLNE,CLNE,3/31/2014,17857347,1466233,12.179065
CLNE,CLNE,3/14/2014,17012960,1890479,8.999285
CLNE,CLNE,2/28/2014,17350366,2000349,8.673669
CLNE,CLNE,2/14/2014,17364847,2657279,6.534823
CLNE,CLNE,1/31/2014,18691488,1334822,14.002982
CLNE,CLNE,1/15/2014,17048698,1052557,16.197411
CLNE,CLNE,12/31/2013,16934014,1151423,14.707031
CLNE,CLNE,12/13/2013,18646442,852384,21.875636
CLNE,CLNE,11/29/2013,19366447,776385,24.944386
CLNE,CLNE,11/15/2013,19727950,1595458,12.365070
CLNE,CLNE,10/31/2013,19864811,1472072,13.494456
CLNE,CLNE,10/15/2013,18033060,2819448,6.395954
CLNE,CLNE,9/30/2013,16444661,1176389,13.978931
CLNE,CLNE,9/13/2013,16271589,1087160,14.967060
CLNE,CLNE,8/30/2013,16098943,862870,18.657437
CLNE,CLNE,8/15/2013,16102793,1020314,15.782194
