filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
DSW,DSW,8/15/2014,1763401,1095075,1.610302
DSW,DSW,7/31/2014,2158475,1392191,1.550416
DSW,DSW,7/15/2014,1926159,1147020,1.679272
DSW,DSW,6/30/2014,2322620,1797450,1.292175
DSW,DSW,6/13/2014,2439731,2767664,1.000000
DSW,DSW,5/30/2014,1654958,6233470,1.000000
DSW,DSW,5/15/2014,1826273,1182183,1.544831
DSW,DSW,4/30/2014,1770353,1539234,1.150152
DSW,DSW,4/15/2014,1963891,999033,1.965792
DSW,DSW,3/31/2014,2827449,1742497,1.622642
DSW,DSW,3/14/2014,3209222,706806,4.540457
DSW,DSW,2/28/2014,3515434,894822,3.928641
DSW,DSW,2/14/2014,3841041,1165266,3.296278
DSW,DSW,1/31/2014,3838297,916269,4.189050
DSW,DSW,1/15/2014,4666936,1110182,4.203758
DSW,DSW,12/31/2013,4340973,660275,6.574492
DSW,DSW,12/13/2013,4001973,723903,5.528328
DSW,DSW,11/29/2013,4165132,1286702,3.237060
DSW,DSW,11/15/2013,4824474,561111,8.598074
DSW,DSW,10/31/2013,2219528,596112,3.723341
DSW,DSW,10/15/2013,2007664,793686,2.529544
DSW,DSW,9/30/2013,2074996,649342,3.195536
DSW,DSW,9/13/2013,2525526,560134,4.508789
DSW,DSW,8/30/2013,2921972,1022022,2.859011
DSW,DSW,8/15/2013,2549458,696714,3.659260
