filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
ENH,ENH,8/15/2014,1535682,417520,3.678104
ENH,ENH,7/31/2014,2567992,392084,6.549597
ENH,ENH,7/15/2014,2393808,407740,5.870918
ENH,ENH,6/30/2014,2540087,318365,7.978537
ENH,ENH,6/13/2014,2228400,258381,8.624473
ENH,ENH,5/30/2014,1968225,272316,7.227724
ENH,ENH,5/15/2014,1708007,445166,3.836787
ENH,ENH,4/30/2014,1108611,410353,2.701603
ENH,ENH,4/15/2014,1054456,349019,3.021199
ENH,ENH,3/31/2014,906459,168390,5.383093
ENH,ENH,3/14/2014,973367,166626,5.841627
ENH,ENH,2/28/2014,1180228,206678,5.710467
ENH,ENH,2/14/2014,989135,227318,4.351327
ENH,ENH,1/31/2014,943433,192848,4.892107
ENH,ENH,1/15/2014,1060362,243807,4.349186
ENH,ENH,12/31/2013,1143426,217717,5.251891
ENH,ENH,12/13/2013,920121,183131,5.024387
ENH,ENH,11/29/2013,899853,120940,7.440491
ENH,ENH,11/15/2013,906572,208742,4.343026
ENH,ENH,10/31/2013,1159550,171755,6.751186
ENH,ENH,10/15/2013,1024096,150525,6.803494
ENH,ENH,9/30/2013,1462622,188809,7.746569
ENH,ENH,9/13/2013,1278728,224018,5.708148
ENH,ENH,8/30/2013,1328322,191006,6.954347
ENH,ENH,8/15/2013,1416050,211976,6.680237
