filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
EPAY,EPAY,8/15/2014,2897085,251136,11.535921
EPAY,EPAY,7/31/2014,3227738,223016,14.473123
EPAY,EPAY,7/15/2014,3059793,261926,11.681899
EPAY,EPAY,6/30/2014,3177459,231663,13.715867
EPAY,EPAY,6/13/2014,3264599,194454,16.788541
EPAY,EPAY,5/30/2014,3468587,185902,18.658148
EPAY,EPAY,5/15/2014,3670444,254787,14.405931
EPAY,EPAY,4/30/2014,4151704,195485,21.237967
EPAY,EPAY,4/15/2014,4343852,174774,24.854109
EPAY,EPAY,3/31/2014,4232577,276525,15.306309
EPAY,EPAY,3/14/2014,3820260,202228,18.890856
EPAY,EPAY,2/28/2014,3822665,184304,20.741085
EPAY,EPAY,2/14/2014,3785107,217558,17.398151
EPAY,EPAY,1/31/2014,3840571,208537,18.416737
EPAY,EPAY,1/15/2014,3920525,197290,19.871889
EPAY,EPAY,12/31/2013,3717634,211806,17.552071
EPAY,EPAY,12/13/2013,3751350,192402,19.497458
EPAY,EPAY,11/29/2013,3778263,282331,13.382388
EPAY,EPAY,11/15/2013,3902702,396113,9.852497
EPAY,EPAY,10/31/2013,4616093,196595,23.480216
EPAY,EPAY,10/15/2013,4619732,157558,29.320834
EPAY,EPAY,9/30/2013,4418943,235740,18.744986
EPAY,EPAY,9/13/2013,4156104,163122,25.478501
EPAY,EPAY,8/30/2013,4161141,335302,12.410129
EPAY,EPAY,8/15/2013,3873017,162754,23.796755
