filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
ETFC,ETFC,8/15/2014,5158824,2383353,2.164524
ETFC,ETFC,7/31/2014,7236330,4281732,1.690047
ETFC,ETFC,7/15/2014,6861165,4217684,1.626761
ETFC,ETFC,6/30/2014,9013699,5454194,1.652618
ETFC,ETFC,6/13/2014,11106103,5108308,2.174126
ETFC,ETFC,5/30/2014,8642560,3418008,2.528537
ETFC,ETFC,5/15/2014,9970507,4435192,2.248044
ETFC,ETFC,4/30/2014,9510401,5429773,1.751528
ETFC,ETFC,4/15/2014,11245658,9070364,1.239824
ETFC,ETFC,3/31/2014,11195245,4413851,2.536389
ETFC,ETFC,3/14/2014,11960204,2782847,4.297830
ETFC,ETFC,2/28/2014,11267723,3693214,3.050926
ETFC,ETFC,2/14/2014,11602759,4346978,2.669155
ETFC,ETFC,1/31/2014,12746153,4801157,2.654809
ETFC,ETFC,1/15/2014,16022722,3172235,5.050925
ETFC,ETFC,12/31/2013,15641502,2553701,6.125033
ETFC,ETFC,12/13/2013,17082324,2389119,7.150052
ETFC,ETFC,11/29/2013,17802001,2030567,8.767010
ETFC,ETFC,11/15/2013,17766972,3044342,5.836063
ETFC,ETFC,10/31/2013,15835948,4320205,3.665555
ETFC,ETFC,10/15/2013,15832339,3151217,5.024198
ETFC,ETFC,9/30/2013,17839502,3645248,4.893906
ETFC,ETFC,9/13/2013,18133352,4807056,3.772236
ETFC,ETFC,8/30/2013,19501835,1992835,9.785976
ETFC,ETFC,8/15/2013,21391823,2623403,8.154227
