filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
FMC,FMC,8/15/2014,3598826,1173460,3.066850
FMC,FMC,7/31/2014,3454822,1026256,3.366433
FMC,FMC,7/15/2014,3134505,998966,3.137749
FMC,FMC,6/30/2014,3732732,1826040,2.044168
FMC,FMC,6/13/2014,4877155,568835,8.573936
FMC,FMC,5/30/2014,4661727,1043546,4.467198
FMC,FMC,5/15/2014,3592286,1105209,3.250323
FMC,FMC,4/30/2014,3606573,508983,7.085842
FMC,FMC,4/15/2014,3781033,920472,4.107711
FMC,FMC,3/31/2014,3949603,1428909,2.764069
FMC,FMC,3/14/2014,4286085,1346834,3.182341
FMC,FMC,2/28/2014,3910727,1024361,3.817723
FMC,FMC,2/14/2014,4398597,1248598,3.522829
FMC,FMC,1/31/2014,3470168,719432,4.823483
FMC,FMC,1/15/2014,3630163,690465,5.257563
FMC,FMC,12/31/2013,3522436,948391,3.714118
FMC,FMC,12/13/2013,3545924,799918,4.432859
FMC,FMC,11/29/2013,3213396,589826,5.448041
FMC,FMC,11/15/2013,4037799,573489,7.040761
FMC,FMC,10/31/2013,4301396,682532,6.302116
FMC,FMC,10/15/2013,4885191,612329,7.978049
FMC,FMC,9/30/2013,5848111,563265,10.382522
FMC,FMC,9/13/2013,5809947,583964,9.949153
FMC,FMC,8/30/2013,5694416,774103,7.356148
FMC,FMC,8/15/2013,5732704,793735,7.222441
