filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
III,III,8/15/2014,775679,117007,6.629338
III,III,7/31/2014,860584,117555,7.320692
III,III,7/15/2014,810292,109027,7.432031
III,III,6/30/2014,76340,498832,1.000000
III,III,6/13/2014,53890,124198,1.000000
III,III,5/30/2014,71575,90450,1.000000
III,III,5/15/2014,72155,128072,1.000000
III,III,4/30/2014,91188,108514,1.000000
III,III,4/15/2014,79313,159396,1.000000
III,III,3/31/2014,71725,203330,1.000000
III,III,3/14/2014,93274,262814,1.000000
III,III,2/28/2014,78538,291356,1.000000
III,III,2/14/2014,103184,222253,1.000000
III,III,1/31/2014,130226,228250,1.000000
III,III,1/15/2014,104389,239938,1.000000
III,III,12/31/2013,108555,127091,1.000000
III,III,12/13/2013,126617,156697,1.000000
III,III,11/29/2013,85169,163325,1.000000
III,III,11/15/2013,96309,264885,1.000000
III,III,10/31/2013,69992,259278,1.000000
III,III,10/15/2013,59900,310302,1.000000
III,III,9/30/2013,88166,553618,1.000000
III,III,9/13/2013,64431,421900,1.000000
III,III,8/30/2013,41537,393968,1.000000
III,III,8/15/2013,53991,358232,1.000000
