filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
IPG,The,8/15/2014,15007572,4095081,3.664780
IPG,The,7/31/2014,14543711,8517915,1.707426
IPG,The,7/15/2014,12585561,7332711,1.716359
IPG,The,6/30/2014,15340048,5765268,2.660769
IPG,The,6/13/2014,15248172,7479960,2.038537
IPG,The,5/30/2014,10011610,8825255,1.134427
IPG,The,5/15/2014,5070965,6123969,1.000000
IPG,The,4/30/2014,5364363,6742637,1.000000
IPG,The,4/15/2014,5767978,4652209,1.239836
IPG,The,3/31/2014,6426868,3590718,1.789856
IPG,The,3/14/2014,7356920,3899978,1.886400
IPG,The,2/28/2014,6072436,4716740,1.287422
IPG,The,2/14/2014,5935049,5116643,1.159950
IPG,The,1/31/2014,6215103,3238660,1.919035
IPG,The,1/15/2014,6590445,3755896,1.754693
IPG,The,12/31/2013,5560953,3275601,1.697689
IPG,The,12/13/2013,6528020,3814248,1.711483
IPG,The,11/29/2013,8158961,3614476,2.257301
IPG,The,11/15/2013,9642965,4345611,2.219012
IPG,The,10/31/2013,7540489,10689953,1.000000
IPG,The,10/15/2013,16743260,4269759,3.921359
IPG,The,9/30/2013,16921145,3798229,4.455009
IPG,The,9/13/2013,14905211,2425370,6.145541
IPG,The,8/30/2013,12896352,2911814,4.428975
IPG,The,8/15/2013,12041770,3510671,3.430048
