filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
JOUT,JOUT,8/15/2014,103556,17486,5.922223
JOUT,JOUT,7/31/2014,99084,17642,5.616370
JOUT,JOUT,7/15/2014,105256,10983,9.583538
JOUT,JOUT,6/30/2014,126017,13252,9.509282
JOUT,JOUT,6/13/2014,111378,16727,6.658576
JOUT,JOUT,5/30/2014,109492,19250,5.687896
JOUT,JOUT,5/15/2014,117441,32153,3.652567
JOUT,JOUT,4/30/2014,163475,16830,9.713310
JOUT,JOUT,4/15/2014,148506,23285,6.377754
JOUT,JOUT,3/31/2014,116760,27084,4.311032
JOUT,JOUT,3/14/2014,74392,17796,4.180265
JOUT,JOUT,2/28/2014,64479,20227,3.187769
JOUT,JOUT,2/14/2014,63615,29458,2.159515
JOUT,JOUT,1/31/2014,47939,24138,1.986039
JOUT,JOUT,1/15/2014,43692,30751,1.420832
JOUT,JOUT,12/31/2013,42801,22637,1.890754
JOUT,JOUT,12/13/2013,41001,37465,1.094381
JOUT,JOUT,11/29/2013,46384,18906,2.453401
JOUT,JOUT,11/15/2013,49490,13379,3.699081
JOUT,JOUT,10/31/2013,58458,18424,3.172927
JOUT,JOUT,10/15/2013,60726,20143,3.014745
JOUT,JOUT,9/30/2013,63120,25258,2.499010
JOUT,JOUT,9/13/2013,61229,19094,3.206714
JOUT,JOUT,8/30/2013,63541,16953,3.748068
JOUT,JOUT,8/15/2013,56340,25620,2.199063
