filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
LCI,LCI,8/15/2014,1710507,378217,4.522555
LCI,LCI,7/31/2014,1857310,692342,2.682648
LCI,LCI,7/15/2014,1626355,429333,3.788097
LCI,LCI,6/30/2014,1538263,657547,2.339396
LCI,LCI,6/13/2014,1833065,1076750,1.702405
LCI,LCI,5/30/2014,1255966,529614,2.371474
LCI,LCI,5/15/2014,1254118,588943,2.129439
LCI,LCI,4/30/2014,1213926,493032,2.462165
LCI,LCI,4/15/2014,1230298,631768,1.947389
LCI,LCI,3/31/2014,824464,793136,1.039499
LCI,LCI,3/14/2014,615177,499291,1.232101
LCI,LCI,2/28/2014,525731,615821,1.000000
LCI,LCI,2/14/2014,659038,669421,1.000000
LCI,LCI,1/31/2014,925680,270991,3.415907
LCI,LCI,1/15/2014,992817,250562,3.962361
LCI,LCI,12/31/2013,940113,231350,4.063596
LCI,LCI,12/13/2013,950591,565908,1.679762
LCI,LCI,11/29/2013,725426,244056,2.972375
LCI,LCI,11/15/2013,703297,374579,1.877567
LCI,LCI,10/31/2013,755089,324833,2.324545
LCI,LCI,10/15/2013,652553,867483,1.000000
LCI,LCI,9/30/2013,490691,214103,2.291846
LCI,LCI,9/13/2013,577709,240276,2.404356
LCI,LCI,8/30/2013,396589,60244,6.583046
LCI,LCI,8/15/2013,321657,80560,3.992763
