filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
LDOS,LDOS,8/15/2014,1648486,345949,4.765113
LDOS,LDOS,7/31/2014,2474322,495412,4.994473
LDOS,LDOS,7/15/2014,2731040,474525,5.755313
LDOS,LDOS,6/30/2014,2822274,588783,4.793403
LDOS,LDOS,6/13/2014,3205822,692276,4.630844
LDOS,LDOS,5/30/2014,3887808,937866,4.145377
LDOS,LDOS,5/15/2014,4417396,694858,6.357264
LDOS,LDOS,4/30/2014,6441686,654344,9.844495
LDOS,LDOS,4/15/2014,7890413,1483292,5.319528
LDOS,LDOS,3/31/2014,7484879,1420888,5.267747
LDOS,LDOS,3/14/2014,7749867,627159,12.357101
LDOS,LDOS,2/28/2014,8719809,583856,14.934862
LDOS,LDOS,2/14/2014,9490971,634494,14.958331
LDOS,LDOS,1/31/2014,8844268,757986,11.668115
LDOS,LDOS,1/15/2014,9176201,899674,10.199473
LDOS,LDOS,12/31/2013,7673411,784105,9.786203
LDOS,LDOS,12/13/2013,7300454,1351789,5.400587
LDOS,LDOS,11/29/2013,8250239,310370,26.581947
LDOS,LDOS,11/15/2013,8223400,387096,21.243826
LDOS,LDOS,10/31/2013,8460840,492356,17.184395
LDOS,LDOS,10/15/2013,7832082,1034924,7.567785
LDOS,LDOS,9/30/2013,13028311,164940,78.988184
LDOS,LDOS,9/13/2013,7156750,1149685,6.224967
LDOS,LDOS,8/30/2013,7739417,437080,17.707104
LDOS,LDOS,8/15/2013,8136064,461545,17.627880
