filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
LION,LION,8/15/2014,517102,35595,14.527377
LION,LION,7/31/2014,567070,57751,9.819224
LION,LION,7/15/2014,573355,73675,7.782219
LION,LION,6/30/2014,563321,82131,6.858811
LION,LION,6/13/2014,530890,56773,9.351100
LION,LION,5/30/2014,546466,33982,16.081043
LION,LION,5/15/2014,542056,54843,9.883777
LION,LION,4/30/2014,477085,52158,9.146919
LION,LION,4/15/2014,366356,59673,6.139393
LION,LION,3/31/2014,354371,55521,6.382648
LION,LION,3/14/2014,335867,43320,7.753163
LION,LION,2/28/2014,309036,34881,8.859723
LION,LION,2/14/2014,329002,50851,6.469922
LION,LION,1/31/2014,372215,79591,4.676597
LION,LION,1/15/2014,388007,53964,7.190108
LION,LION,12/31/2013,423995,45374,9.344448
LION,LION,12/13/2013,435810,47206,9.232089
LION,LION,11/29/2013,466040,55328,8.423222
LION,LION,11/15/2013,468859,44891,10.444388
LION,LION,10/31/2013,477106,87649,5.443371
LION,LION,10/15/2013,642082,52092,12.325923
LION,LION,9/30/2013,621281,90869,6.837106
LION,LION,9/13/2013,626151,61519,10.178173
LION,LION,8/30/2013,598533,77215,7.751512
LION,LION,8/15/2013,560292,80092,6.995605
