filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
LNT,LNT,8/15/2014,3019244,689608,4.378203
LNT,LNT,7/31/2014,3023362,480632,6.290388
LNT,LNT,7/15/2014,2925351,547257,5.345479
LNT,LNT,6/30/2014,2560349,493109,5.192258
LNT,LNT,6/13/2014,2148415,344634,6.233903
LNT,LNT,5/30/2014,2144576,372379,5.759122
LNT,LNT,5/15/2014,2174757,578732,3.757796
LNT,LNT,4/30/2014,1842799,582089,3.165837
LNT,LNT,4/15/2014,1133207,664871,1.704401
LNT,LNT,3/31/2014,1376392,618465,2.225497
LNT,LNT,3/14/2014,1419616,349539,4.061395
LNT,LNT,2/28/2014,1327054,410102,3.235912
LNT,LNT,2/14/2014,1630612,520836,3.130759
LNT,LNT,1/31/2014,1772921,508347,3.487620
LNT,LNT,1/15/2014,1388829,531847,2.611332
LNT,LNT,12/31/2013,1310818,455504,2.877731
LNT,LNT,12/13/2013,1125635,449852,2.502234
LNT,LNT,11/29/2013,1123382,421341,2.666206
LNT,LNT,11/15/2013,909682,596900,1.524011
LNT,LNT,10/31/2013,854247,521854,1.636946
LNT,LNT,10/15/2013,1016919,449382,2.262928
LNT,LNT,9/30/2013,747251,617889,1.209361
LNT,LNT,9/13/2013,996531,688610,1.447163
LNT,LNT,8/30/2013,1347878,385417,3.497194
LNT,LNT,8/15/2013,1100704,405525,2.714269
