filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
LTS,LTS,8/15/2014,3820093,258546,14.775293
LTS,LTS,7/31/2014,3694090,340395,10.852363
LTS,LTS,7/15/2014,3382218,709353,4.768032
LTS,LTS,6/30/2014,3491547,335255,10.414601
LTS,LTS,6/13/2014,3298085,274227,12.026843
LTS,LTS,5/30/2014,3268097,343493,9.514305
LTS,LTS,5/15/2014,3307493,338724,9.764566
LTS,LTS,4/30/2014,3166896,219060,14.456752
LTS,LTS,4/15/2014,3009521,318010,9.463605
LTS,LTS,3/31/2014,2737426,423836,6.458692
LTS,LTS,3/14/2014,2504731,320919,7.804870
LTS,LTS,2/28/2014,2301619,281483,8.176760
LTS,LTS,2/14/2014,2170569,304433,7.129874
LTS,LTS,1/31/2014,1867405,440074,4.243389
LTS,LTS,1/15/2014,1643466,288410,5.698367
LTS,LTS,12/31/2013,1389581,393828,3.528396
LTS,LTS,12/13/2013,1030972,622352,1.656574
LTS,LTS,11/29/2013,1003404,352187,2.849066
LTS,LTS,11/15/2013,994224,459521,2.163609
LTS,LTS,10/31/2013,1101420,325614,3.382594
LTS,LTS,10/15/2013,1219396,177011,6.888815
LTS,LTS,9/30/2013,1242969,214758,5.787766
LTS,LTS,9/13/2013,1290028,165254,7.806334
LTS,LTS,8/30/2013,1307932,240713,5.433574
LTS,LTS,8/15/2013,1145193,632338,1.811046
