filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
LXP,LXP,8/15/2014,5034291,1417131,3.552453
LXP,LXP,7/31/2014,5212296,970161,5.372609
LXP,LXP,7/15/2014,5238348,1407421,3.721948
LXP,LXP,6/30/2014,4944805,2142399,2.308069
LXP,LXP,6/13/2014,6208338,1983465,3.130047
LXP,LXP,5/30/2014,6002515,2002363,2.997716
LXP,LXP,5/15/2014,5981222,1848837,3.235127
LXP,LXP,4/30/2014,5060990,1412951,3.581858
LXP,LXP,4/15/2014,5179794,2310486,2.241863
LXP,LXP,3/31/2014,7882504,1843196,4.276541
LXP,LXP,3/14/2014,8463431,1858134,4.554801
LXP,LXP,2/28/2014,6938767,1801092,3.852533
LXP,LXP,2/14/2014,8077601,1533916,5.266000
LXP,LXP,1/31/2014,7605475,1913957,3.973692
LXP,LXP,1/15/2014,7123518,1665355,4.277477
LXP,LXP,12/31/2013,6408014,1672059,3.832409
LXP,LXP,12/13/2013,6727378,1652750,4.070415
LXP,LXP,11/29/2013,7794003,1902958,4.095730
LXP,LXP,11/15/2013,7911990,1837764,4.305226
LXP,LXP,10/31/2013,9385316,2805828,3.344936
LXP,LXP,10/15/2013,11065802,2745662,4.030286
LXP,LXP,9/30/2013,12326777,1737560,7.094303
LXP,LXP,9/13/2013,11864488,1377354,8.613971
LXP,LXP,8/30/2013,12000497,1758549,6.824090
LXP,LXP,8/15/2013,9786027,1082841,9.037363
