filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
MAC,The,8/15/2014,4265485,748482,5.698848
MAC,The,7/31/2014,4253306,791225,5.375596
MAC,The,7/15/2014,4088158,530363,7.708226
MAC,The,6/30/2014,3803266,546875,6.954544
MAC,The,6/13/2014,3913952,501088,7.810907
MAC,The,5/30/2014,3857085,492197,7.836466
MAC,The,5/15/2014,3573150,555075,6.437238
MAC,The,4/30/2014,3847753,1002215,3.839249
MAC,The,4/15/2014,3709058,789893,4.695646
MAC,The,3/31/2014,3524983,740439,4.760666
MAC,The,3/14/2014,4003381,692187,5.783670
MAC,The,2/28/2014,4325291,756985,5.713840
MAC,The,2/14/2014,4704321,793858,5.925897
MAC,The,1/31/2014,4403530,963414,4.570756
MAC,The,1/15/2014,4995898,913241,5.470514
MAC,The,12/31/2013,5129224,751839,6.822237
MAC,The,12/13/2013,5087983,1218105,4.176966
MAC,The,11/29/2013,3624526,622842,5.819335
MAC,The,11/15/2013,3876139,912167,4.249374
MAC,The,10/31/2013,2768665,893931,3.097180
MAC,The,10/15/2013,3024712,1086997,2.782631
MAC,The,9/30/2013,3380855,681638,4.959898
MAC,The,9/13/2013,3140475,688871,4.558872
MAC,The,8/30/2013,3092949,894508,3.457710
MAC,The,8/15/2013,2929433,1087325,2.694165
