filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
MDP,MDP,8/15/2014,2391417,255817,9.348155
MDP,MDP,7/31/2014,2338927,192332,12.160883
MDP,MDP,7/15/2014,2226876,201239,11.065827
MDP,MDP,6/30/2014,2299946,289069,7.956391
MDP,MDP,6/13/2014,2171438,245053,8.861095
MDP,MDP,5/30/2014,2314326,204056,11.341622
MDP,MDP,5/15/2014,2263338,295258,7.665628
MDP,MDP,4/30/2014,1999465,436401,4.581715
MDP,MDP,4/15/2014,1670395,293843,5.684651
MDP,MDP,3/31/2014,1532150,262277,5.841725
MDP,MDP,3/14/2014,1422011,394209,3.607251
MDP,MDP,2/28/2014,1419923,409406,3.468252
MDP,MDP,2/14/2014,1320679,517993,2.549608
MDP,MDP,1/31/2014,1610184,414432,3.885279
MDP,MDP,1/15/2014,1748511,238574,7.329009
MDP,MDP,12/31/2013,1789296,318296,5.621484
MDP,MDP,12/13/2013,2213052,347646,6.365820
MDP,MDP,11/29/2013,2871277,271137,10.589765
MDP,MDP,11/15/2013,3291850,233021,14.126838
MDP,MDP,10/31/2013,3892506,211840,18.374745
MDP,MDP,10/15/2013,3951176,174576,22.632985
MDP,MDP,9/30/2013,4026023,226161,17.801579
MDP,MDP,9/13/2013,4342659,216582,20.050877
MDP,MDP,8/30/2013,4576861,163060,28.068570
MDP,MDP,8/15/2013,4691446,281369,16.673642
