filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
MGAM,MGAM,8/15/2014,1022746,321457,3.181595
MGAM,MGAM,7/31/2014,1208993,470504,2.569570
MGAM,MGAM,7/15/2014,1147382,208237,5.509981
MGAM,MGAM,6/30/2014,1258789,212862,5.913639
MGAM,MGAM,6/13/2014,1616993,254136,6.362707
MGAM,MGAM,5/30/2014,1613571,233866,6.899554
MGAM,MGAM,5/15/2014,1640998,407733,4.024688
MGAM,MGAM,4/30/2014,1520339,335459,4.532116
MGAM,MGAM,4/15/2014,1736619,354929,4.892863
MGAM,MGAM,3/31/2014,1768289,376316,4.698947
MGAM,MGAM,3/14/2014,1663066,201424,8.256543
MGAM,MGAM,2/28/2014,1568002,315795,4.965253
MGAM,MGAM,2/14/2014,1565544,256615,6.100750
MGAM,MGAM,1/31/2014,1636797,442065,3.702616
MGAM,MGAM,1/15/2014,1406684,461071,3.050905
MGAM,MGAM,12/31/2013,1066648,384543,2.773807
MGAM,MGAM,12/13/2013,936457,547344,1.710911
MGAM,MGAM,11/29/2013,840132,419603,2.002207
MGAM,MGAM,11/15/2013,669416,609658,1.098019
MGAM,MGAM,10/31/2013,519431,231417,2.244567
MGAM,MGAM,10/15/2013,535587,408338,1.311627
MGAM,MGAM,9/30/2013,554099,290067,1.910245
MGAM,MGAM,9/13/2013,820100,853629,1.000000
MGAM,MGAM,8/30/2013,513825,340521,1.508938
MGAM,MGAM,8/15/2013,470937,239154,1.969179
