filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
NAT,NAT,8/15/2014,8555979,1260402,6.788294
NAT,NAT,7/31/2014,8522388,1230150,6.927926
NAT,NAT,7/15/2014,8656213,1492641,5.799260
NAT,NAT,6/30/2014,7970275,1408818,5.657420
NAT,NAT,6/13/2014,8270744,1136858,7.275090
NAT,NAT,5/30/2014,7646333,1121237,6.819551
NAT,NAT,5/15/2014,7373497,1645959,4.479757
NAT,NAT,4/30/2014,6790761,1494456,4.543969
NAT,NAT,4/15/2014,7868002,2707327,2.906188
NAT,NAT,3/31/2014,7070692,812543,8.701930
NAT,NAT,3/14/2014,6998458,733469,9.541587
NAT,NAT,2/28/2014,7138777,1079480,6.613163
NAT,NAT,2/14/2014,7867807,1477495,5.325099
NAT,NAT,1/31/2014,7221516,2866458,2.519317
NAT,NAT,1/15/2014,8247407,1969258,4.188078
NAT,NAT,12/31/2013,8272357,1670236,4.952807
NAT,NAT,12/13/2013,9570462,1529550,6.257044
NAT,NAT,11/29/2013,9407605,2161193,4.352968
NAT,NAT,11/15/2013,9893110,700136,14.130269
NAT,NAT,10/31/2013,9987599,560443,17.820901
NAT,NAT,10/15/2013,11004450,666608,16.508128
NAT,NAT,9/30/2013,10631323,1008615,10.540516
NAT,NAT,9/13/2013,10619107,930988,11.406277
NAT,NAT,8/30/2013,10801346,1226241,8.808502
NAT,NAT,8/15/2013,9163128,1139523,8.041196
