filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
PCH,PCH,8/15/2014,1139467,171699,6.636422
PCH,PCH,7/31/2014,1083991,231099,4.690591
PCH,PCH,7/15/2014,1056672,219113,4.822498
PCH,PCH,6/30/2014,1175873,199624,5.890439
PCH,PCH,6/13/2014,1186966,177147,6.700458
PCH,PCH,5/30/2014,1124989,157575,7.139388
PCH,PCH,5/15/2014,1084506,170078,6.376521
PCH,PCH,4/30/2014,994654,183912,5.408315
PCH,PCH,4/15/2014,957786,152568,6.277765
PCH,PCH,3/31/2014,953817,210684,4.527240
PCH,PCH,3/14/2014,953070,189833,5.020571
PCH,PCH,2/28/2014,824054,215928,3.816337
PCH,PCH,2/14/2014,796907,222055,3.588782
PCH,PCH,1/31/2014,702522,243128,2.889515
PCH,PCH,1/15/2014,673333,246293,2.733870
PCH,PCH,12/31/2013,669498,208834,3.205886
PCH,PCH,12/13/2013,643588,211675,3.040454
PCH,PCH,11/29/2013,653505,247814,2.637079
PCH,PCH,11/15/2013,636188,223841,2.842142
PCH,PCH,10/31/2013,669617,223593,2.994803
PCH,PCH,10/15/2013,703223,201654,3.487275
PCH,PCH,9/30/2013,679769,242497,2.803206
PCH,PCH,9/13/2013,795056,292557,2.717611
PCH,PCH,8/30/2013,806336,214246,3.763599
PCH,PCH,8/15/2013,695587,206508,3.368330
