filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
PCO,PCO,8/15/2014,3741221,155226,24.101768
PCO,PCO,7/31/2014,3823160,171651,22.272868
PCO,PCO,7/15/2014,3820175,181906,21.000819
PCO,PCO,6/30/2014,4325474,381293,11.344226
PCO,PCO,6/13/2014,4054334,239425,16.933628
PCO,PCO,5/30/2014,4050442,429223,9.436684
PCO,PCO,5/15/2014,3980047,516795,7.701404
PCO,PCO,4/30/2014,3633974,195893,18.550811
PCO,PCO,4/15/2014,3522087,295435,11.921699
PCO,PCO,3/31/2014,3303112,436255,7.571517
PCO,PCO,3/14/2014,3074727,272699,11.275168
PCO,PCO,2/28/2014,2644738,178645,14.804433
PCO,PCO,2/14/2014,2651613,247846,10.698631
PCO,PCO,1/31/2014,2242284,222548,10.075507
PCO,PCO,1/15/2014,2056657,183478,11.209284
PCO,PCO,12/31/2013,2213007,432166,5.120734
PCO,PCO,12/13/2013,2544795,322178,7.898724
PCO,PCO,11/29/2013,2615725,183185,14.279144
PCO,PCO,11/15/2013,2681523,367748,7.291741
PCO,PCO,10/31/2013,3069019,384951,7.972493
PCO,PCO,10/15/2013,3331671,270367,12.322772
PCO,PCO,9/30/2013,3299074,353823,9.324080
PCO,PCO,9/13/2013,3290797,341367,9.640056
PCO,PCO,8/30/2013,2980202,403932,7.377979
PCO,PCO,8/15/2013,2512915,671454,3.742498
