filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
PCP,PCP,8/15/2014,2573208,852750,3.017541
PCP,PCP,7/31/2014,2403824,1313004,1.830782
PCP,PCP,7/15/2014,1838343,620319,2.963545
PCP,PCP,6/30/2014,1524031,622666,2.447590
PCP,PCP,6/13/2014,1689150,869612,1.942418
PCP,PCP,5/30/2014,1111362,846604,1.312729
PCP,PCP,5/15/2014,1136414,757212,1.500787
PCP,PCP,4/30/2014,1296553,487900,2.657415
PCP,PCP,4/15/2014,1255817,691474,1.816145
PCP,PCP,3/31/2014,1297155,741826,1.748597
PCP,PCP,3/14/2014,1435483,543859,2.639440
PCP,PCP,2/28/2014,1461746,703729,2.077143
PCP,PCP,2/14/2014,1681560,803968,2.091576
PCP,PCP,1/31/2014,1518628,1037086,1.464322
PCP,PCP,1/15/2014,1493795,441249,3.385379
PCP,PCP,12/31/2013,1495315,484776,3.084548
PCP,PCP,12/13/2013,1323000,497639,2.658554
PCP,PCP,11/29/2013,1380163,465341,2.965917
PCP,PCP,11/15/2013,1481062,456287,3.245900
PCP,PCP,10/31/2013,1473546,741798,1.986452
PCP,PCP,10/15/2013,1652099,642600,2.570960
PCP,PCP,9/30/2013,1254509,672950,1.864193
PCP,PCP,9/13/2013,1184379,727141,1.628816
PCP,PCP,8/30/2013,968991,547467,1.769953
PCP,PCP,8/15/2013,1048631,651290,1.610083
