filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
PKG,PKG,8/15/2014,1901461,856953,2.218863
PKG,PKG,7/31/2014,1891404,1565245,1.208376
PKG,PKG,7/15/2014,2053166,709519,2.893744
PKG,PKG,6/30/2014,2090685,581355,3.596228
PKG,PKG,6/13/2014,1998736,618644,3.230834
PKG,PKG,5/30/2014,1969762,799155,2.464806
PKG,PKG,5/15/2014,1939711,903723,2.146356
PKG,PKG,4/30/2014,1982766,1179850,1.680524
PKG,PKG,4/15/2014,1827162,1029454,1.774885
PKG,PKG,3/31/2014,1844124,1117346,1.650450
PKG,PKG,3/14/2014,1942614,834954,2.326612
PKG,PKG,2/28/2014,2057855,820867,2.506929
PKG,PKG,2/14/2014,2436704,1634242,1.491030
PKG,PKG,1/31/2014,2573485,854606,3.011312
PKG,PKG,1/15/2014,2749566,831334,3.307414
PKG,PKG,12/31/2013,2524005,600077,4.206135
PKG,PKG,12/13/2013,3392925,947897,3.579424
PKG,PKG,11/29/2013,3149653,625361,5.036536
PKG,PKG,11/15/2013,2550584,779685,3.271301
PKG,PKG,10/31/2013,2163587,778911,2.777708
PKG,PKG,10/15/2013,1377050,1042591,1.320796
PKG,PKG,9/30/2013,1797585,1574077,1.141993
PKG,PKG,9/13/2013,962174,608762,1.580542
PKG,PKG,8/30/2013,1267896,641198,1.977386
PKG,PKG,8/15/2013,1087715,609808,1.783701
