filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
PPHM,PPHM,8/15/2014,15793549,924495,17.083434
PPHM,PPHM,7/31/2014,16146644,1218060,13.256033
PPHM,PPHM,7/15/2014,16418715,1447658,11.341570
PPHM,PPHM,6/30/2014,15263090,1208520,12.629572
PPHM,PPHM,6/13/2014,15472305,979604,15.794449
PPHM,PPHM,5/30/2014,15447284,1259592,12.263720
PPHM,PPHM,5/15/2014,16124980,1297304,12.429608
PPHM,PPHM,4/30/2014,15974009,1516894,10.530735
PPHM,PPHM,4/15/2014,15358319,3069961,5.002773
PPHM,PPHM,3/31/2014,15082020,3252210,4.637468
PPHM,PPHM,3/14/2014,15610186,11996271,1.301253
PPHM,PPHM,2/28/2014,10280960,1869901,5.498131
PPHM,PPHM,2/14/2014,10244573,2269345,4.514330
PPHM,PPHM,1/31/2014,10075940,4793912,2.101820
PPHM,PPHM,1/15/2014,8852918,6454605,1.371566
PPHM,PPHM,12/31/2013,8478508,1385265,6.120495
PPHM,PPHM,12/13/2013,8661584,1134876,7.632185
PPHM,PPHM,11/29/2013,9413042,1016454,9.260667
PPHM,PPHM,11/15/2013,9854527,1190725,8.276073
PPHM,PPHM,10/31/2013,9751269,1337858,7.288717
PPHM,PPHM,10/15/2013,10132721,1396924,7.253595
PPHM,PPHM,9/30/2013,15547091,746493,20.826841
PPHM,PPHM,9/13/2013,15681288,1288033,12.174601
PPHM,PPHM,8/30/2013,16107814,717696,22.443784
PPHM,PPHM,8/15/2013,16357614,1086600,15.053943
