filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
PRGS,PRGS,8/15/2014,1606851,174091,9.229949
PRGS,PRGS,7/31/2014,1622846,220856,7.347982
PRGS,PRGS,7/15/2014,1577331,264998,5.952237
PRGS,PRGS,6/30/2014,1801197,419702,4.291609
PRGS,PRGS,6/13/2014,1814928,167716,10.821436
PRGS,PRGS,5/30/2014,1896361,156281,12.134303
PRGS,PRGS,5/15/2014,1952585,193291,10.101790
PRGS,PRGS,4/30/2014,1989695,272649,7.297643
PRGS,PRGS,4/15/2014,1902340,461219,4.124592
PRGS,PRGS,3/31/2014,1802152,329907,5.462606
PRGS,PRGS,3/14/2014,1847152,363208,5.085659
PRGS,PRGS,2/28/2014,1670789,235740,7.087423
PRGS,PRGS,2/14/2014,1716203,250935,6.839233
PRGS,PRGS,1/31/2014,1294238,221605,5.840292
PRGS,PRGS,1/15/2014,1150385,293797,3.915578
PRGS,PRGS,12/31/2013,1248963,326346,3.827113
PRGS,PRGS,12/13/2013,1375418,415836,3.307597
PRGS,PRGS,11/29/2013,1492601,213102,7.004162
PRGS,PRGS,11/15/2013,1541419,153750,10.025489
PRGS,PRGS,10/31/2013,1694557,281599,6.017624
PRGS,PRGS,10/15/2013,1723556,288781,5.968384
PRGS,PRGS,9/30/2013,1599761,335846,4.763377
PRGS,PRGS,9/13/2013,1760344,152679,11.529706
PRGS,PRGS,8/30/2013,1730199,216283,7.999699
PRGS,PRGS,8/15/2013,1645710,287206,5.730068
