filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
RES,RES,8/15/2014,3935999,662536,5.940808
RES,RES,7/31/2014,3959607,869033,4.556337
RES,RES,7/15/2014,3327569,490729,6.780869
RES,RES,6/30/2014,3271377,688194,4.753568
RES,RES,6/13/2014,3441970,611634,5.627499
RES,RES,5/30/2014,3223531,669235,4.816740
RES,RES,5/15/2014,3695349,836555,4.417341
RES,RES,4/30/2014,3899932,1475850,2.642499
RES,RES,4/15/2014,3908092,895187,4.365671
RES,RES,3/31/2014,5429813,1341090,4.048806
RES,RES,3/14/2014,6954995,1745517,3.984490
RES,RES,2/28/2014,7816215,1280095,6.105965
RES,RES,2/14/2014,7568666,1774291,4.265741
RES,RES,1/31/2014,10285859,1105735,9.302282
RES,RES,1/15/2014,10790694,511562,21.093619
RES,RES,12/31/2013,9892039,361020,27.400252
RES,RES,12/13/2013,10353771,383296,27.012468
RES,RES,11/29/2013,10756638,561026,19.173154
RES,RES,11/15/2013,11002492,626439,17.563549
RES,RES,10/31/2013,10348899,710141,14.573020
RES,RES,10/15/2013,11348175,419124,27.075937
RES,RES,9/30/2013,12280612,485341,25.303059
RES,RES,9/13/2013,12538679,392018,31.984957
RES,RES,8/30/2013,13034767,293242,44.450546
RES,RES,8/15/2013,13411095,238370,56.261673
