filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
RLI,RLI,8/15/2014,1359698,80422,16.907040
RLI,RLI,7/31/2014,1400322,125675,11.142407
RLI,RLI,7/15/2014,1321761,87172,15.162678
RLI,RLI,6/30/2014,1404382,102024,13.765212
RLI,RLI,6/13/2014,1412877,116659,12.111170
RLI,RLI,5/30/2014,1518768,107042,14.188524
RLI,RLI,5/15/2014,1517135,155152,9.778379
RLI,RLI,4/30/2014,1407158,155175,9.068200
RLI,RLI,4/15/2014,1448557,125089,11.580211
RLI,RLI,3/31/2014,1451910,154975,9.368672
RLI,RLI,3/14/2014,1436806,139179,10.323440
RLI,RLI,2/28/2014,1344805,133512,10.072540
RLI,RLI,2/14/2014,1270571,151407,8.391759
RLI,RLI,1/31/2014,1072717,177245,6.052171
RLI,RLI,1/15/2014,568551,92357,6.156014
RLI,RLI,12/31/2013,1199924,178794,6.711210
RLI,RLI,12/13/2013,1247928,168248,7.417194
RLI,RLI,11/29/2013,1433766,146666,9.775722
RLI,RLI,11/15/2013,1157466,138320,8.368031
RLI,RLI,10/31/2013,1221120,155522,7.851751
RLI,RLI,10/15/2013,1316744,180086,7.311751
RLI,RLI,9/30/2013,1407524,120966,11.635699
RLI,RLI,9/13/2013,1445088,59542,24.270061
RLI,RLI,8/30/2013,1363114,74878,18.204466
RLI,RLI,8/15/2013,1331946,93506,14.244498
