filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
SBRA,SBRA,8/15/2014,1944024,286493,6.785590
SBRA,SBRA,7/31/2014,1880346,288758,6.511840
SBRA,SBRA,7/15/2014,1916534,248071,7.725748
SBRA,SBRA,6/30/2014,1999842,454691,4.398244
SBRA,SBRA,6/13/2014,1840120,379763,4.845443
SBRA,SBRA,5/30/2014,2055052,579285,3.547566
SBRA,SBRA,5/15/2014,2029257,998940,2.031410
SBRA,SBRA,4/30/2014,2009712,289946,6.931332
SBRA,SBRA,4/15/2014,1921054,480279,3.999871
SBRA,SBRA,3/31/2014,2013499,221749,9.080082
SBRA,SBRA,3/14/2014,2002242,236108,8.480196
SBRA,SBRA,2/28/2014,2052946,234446,8.756584
SBRA,SBRA,2/14/2014,2052962,248114,8.274269
SBRA,SBRA,1/31/2014,2090643,233773,8.943047
SBRA,SBRA,1/15/2014,2061290,228041,9.039120
SBRA,SBRA,12/31/2013,2053830,304949,6.734995
SBRA,SBRA,12/13/2013,1735710,241051,7.200592
SBRA,SBRA,11/29/2013,1666397,290283,5.740595
SBRA,SBRA,11/15/2013,1714136,230246,7.444803
SBRA,SBRA,10/31/2013,1524268,383292,3.976780
SBRA,SBRA,10/15/2013,1452410,264385,5.493542
SBRA,SBRA,9/30/2013,1450617,386638,3.751874
SBRA,SBRA,9/13/2013,1610414,225854,7.130332
SBRA,SBRA,8/30/2013,1535823,297096,5.169450
SBRA,SBRA,8/15/2013,1459869,346143,4.217531
