filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
SBY,SBY,8/15/2014,1610939,275484,5.847668
SBY,SBY,7/31/2014,1822684,344115,5.296729
SBY,SBY,7/15/2014,2187962,178095,12.285365
SBY,SBY,6/30/2014,1801753,700049,2.573753
SBY,SBY,6/13/2014,1630069,185343,8.794878
SBY,SBY,5/30/2014,1534934,241079,6.366934
SBY,SBY,5/15/2014,1712954,323517,5.294788
SBY,SBY,4/30/2014,1754490,215617,8.137067
SBY,SBY,4/15/2014,1950944,309210,6.309447
SBY,SBY,3/31/2014,1696643,358322,4.734967
SBY,SBY,3/14/2014,1906336,382620,4.982322
SBY,SBY,2/28/2014,1925017,331221,5.811881
SBY,SBY,2/14/2014,2020781,191777,10.537139
SBY,SBY,1/31/2014,1974911,466038,4.237661
SBY,SBY,1/15/2014,2089673,260378,8.025536
SBY,SBY,12/31/2013,2032873,398984,5.095124
SBY,SBY,12/13/2013,2424409,392054,6.183865
SBY,SBY,11/29/2013,2371125,349887,6.776831
SBY,SBY,11/15/2013,2387643,435889,5.477640
SBY,SBY,10/31/2013,2233800,225093,9.923898
SBY,SBY,10/15/2013,2538441,391704,6.480508
SBY,SBY,9/30/2013,3059355,324941,9.415109
SBY,SBY,9/13/2013,2687421,479161,5.608597
SBY,SBY,8/30/2013,3124649,347323,8.996378
SBY,SBY,8/15/2013,3250020,493484,6.585867
