filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
SEAC,SEAC,8/15/2014,1410475,119946,11.759250
SEAC,SEAC,7/31/2014,1443924,166289,8.683220
SEAC,SEAC,7/15/2014,1425621,176171,8.092257
SEAC,SEAC,6/30/2014,1320519,319730,4.130107
SEAC,SEAC,6/13/2014,1280965,394485,3.247183
SEAC,SEAC,5/30/2014,1134537,189177,5.997225
SEAC,SEAC,5/15/2014,1163639,196306,5.927679
SEAC,SEAC,4/30/2014,1123205,193426,5.806898
SEAC,SEAC,4/15/2014,980728,322027,3.045484
SEAC,SEAC,3/31/2014,781774,413233,1.891848
SEAC,SEAC,3/14/2014,665461,205198,3.243019
SEAC,SEAC,2/28/2014,644674,471290,1.367892
SEAC,SEAC,2/14/2014,711269,125648,5.660806
SEAC,SEAC,1/31/2014,604855,198367,3.049171
SEAC,SEAC,1/15/2014,546360,281072,1.943844
SEAC,SEAC,12/31/2013,534956,294608,1.815823
SEAC,SEAC,12/13/2013,591006,613468,1.000000
SEAC,SEAC,11/29/2013,371534,232391,1.598745
SEAC,SEAC,11/15/2013,339310,244561,1.387425
SEAC,SEAC,10/31/2013,480477,293038,1.639641
SEAC,SEAC,10/15/2013,472166,467142,1.010755
SEAC,SEAC,9/30/2013,457120,129102,3.540766
SEAC,SEAC,9/13/2013,519394,177046,2.933667
SEAC,SEAC,8/30/2013,523565,80542,6.500521
SEAC,SEAC,8/15/2013,469960,90987,5.165133
