filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
SGEN,SGEN,8/15/2014,17048071,1121619,15.199521
SGEN,SGEN,7/31/2014,17414172,840564,20.717247
SGEN,SGEN,7/15/2014,17101684,1251323,13.666882
SGEN,SGEN,6/30/2014,17138579,958973,17.871806
SGEN,SGEN,6/13/2014,17927733,1137246,15.764164
SGEN,SGEN,5/30/2014,16559650,1049811,15.773935
SGEN,SGEN,5/15/2014,15517332,1300693,11.930050
SGEN,SGEN,4/30/2014,14707948,937816,15.683192
SGEN,SGEN,4/15/2014,15087038,1490613,10.121365
SGEN,SGEN,3/31/2014,15996710,1223891,13.070371
SGEN,SGEN,3/14/2014,16494665,967436,17.049877
SGEN,SGEN,2/28/2014,16682794,1158612,14.398948
SGEN,SGEN,2/14/2014,16596436,1263645,13.133780
SGEN,SGEN,1/31/2014,16184488,1023697,15.809842
SGEN,SGEN,1/15/2014,15742518,814379,19.330702
SGEN,SGEN,12/31/2013,15858086,644713,24.597125
SGEN,SGEN,12/13/2013,15917501,1136696,14.003305
SGEN,SGEN,11/29/2013,16089867,644620,24.960235
SGEN,SGEN,11/15/2013,15229327,835268,18.232863
SGEN,SGEN,10/31/2013,14349996,751064,19.106223
SGEN,SGEN,10/15/2013,13849529,1061849,13.042842
SGEN,SGEN,9/30/2013,14743434,876859,16.813916
SGEN,SGEN,9/13/2013,16070898,836454,19.213128
SGEN,SGEN,8/30/2013,16089065,535292,30.056614
SGEN,SGEN,8/15/2013,16165773,741380,21.804976
