filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
SIR,SIR,8/15/2014,911002,216007,4.217465
SIR,SIR,7/31/2014,983044,263043,3.737199
SIR,SIR,7/15/2014,1093011,554710,1.970419
SIR,SIR,6/30/2014,697743,549026,1.270874
SIR,SIR,6/13/2014,613777,537909,1.141042
SIR,SIR,5/30/2014,656774,743772,1.000000
SIR,SIR,5/15/2014,852639,800941,1.064547
SIR,SIR,4/30/2014,887772,175779,5.050501
SIR,SIR,4/15/2014,887432,255563,3.472459
SIR,SIR,3/31/2014,829355,264543,3.135048
SIR,SIR,3/14/2014,909907,306546,2.968256
SIR,SIR,2/28/2014,885543,312923,2.829907
SIR,SIR,2/14/2014,906099,222601,4.070507
SIR,SIR,1/31/2014,895470,162371,5.514963
SIR,SIR,1/15/2014,881540,149986,5.877482
SIR,SIR,12/31/2013,922691,181113,5.094560
SIR,SIR,12/13/2013,1002964,168661,5.946627
SIR,SIR,11/29/2013,989789,192155,5.150993
SIR,SIR,11/15/2013,1004531,144325,6.960201
SIR,SIR,10/31/2013,996505,227124,4.387493
SIR,SIR,10/15/2013,1063851,209304,5.082803
SIR,SIR,9/30/2013,1011040,414346,2.440086
SIR,SIR,9/13/2013,1016735,351366,2.893664
SIR,SIR,8/30/2013,995724,238146,4.181149
SIR,SIR,8/15/2013,1147818,427734,2.683486
