filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
SLH,SLH,8/15/2014,816301,147619,5.529783
SLH,SLH,7/31/2014,906605,178433,5.080927
SLH,SLH,7/15/2014,936350,229350,4.082625
SLH,SLH,6/30/2014,893940,264551,3.379084
SLH,SLH,6/13/2014,946219,218515,4.330224
SLH,SLH,5/30/2014,833305,172305,4.836221
SLH,SLH,5/15/2014,911361,231890,3.930144
SLH,SLH,4/30/2014,892725,235911,3.784160
SLH,SLH,4/15/2014,933985,265388,3.519319
SLH,SLH,3/31/2014,893210,247661,3.606583
SLH,SLH,3/14/2014,748080,205581,3.638858
SLH,SLH,2/28/2014,610864,309345,1.974701
SLH,SLH,2/14/2014,619683,350212,1.769451
SLH,SLH,1/31/2014,759665,184455,4.118430
SLH,SLH,1/15/2014,866422,272825,3.175743
SLH,SLH,12/31/2013,806979,250498,3.221499
SLH,SLH,12/13/2013,766384,301881,2.538696
SLH,SLH,11/29/2013,702807,304327,2.309381
SLH,SLH,11/15/2013,552075,364923,1.512853
SLH,SLH,10/31/2013,545097,236215,2.307631
SLH,SLH,10/15/2013,536299,307794,1.742396
SLH,SLH,9/30/2013,385260,205308,1.876498
SLH,SLH,9/13/2013,369366,256544,1.439776
SLH,SLH,8/30/2013,400709,215195,1.862074
SLH,SLH,8/15/2013,274450,215546,1.273278
