filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
STI,STI,8/15/2014,7744769,2794616,2.771318
STI,STI,7/31/2014,7715739,3848100,2.005078
STI,STI,7/15/2014,8305737,3009969,2.759409
STI,STI,6/30/2014,7856294,2852204,2.754464
STI,STI,6/13/2014,7540065,3166152,2.381460
STI,STI,5/30/2014,8288029,2727919,3.038224
STI,STI,5/15/2014,7063885,2714614,2.602169
STI,STI,4/30/2014,7070046,3188387,2.217437
STI,STI,4/15/2014,7806649,3486788,2.238923
STI,STI,3/31/2014,8487943,3211644,2.642865
STI,STI,3/14/2014,9583771,2604611,3.679540
STI,STI,2/28/2014,8748861,2581736,3.388751
STI,STI,2/14/2014,10090965,4228144,2.386618
STI,STI,1/31/2014,8990706,4196518,2.142420
STI,STI,1/15/2014,9209183,4030593,2.284821
STI,STI,12/31/2013,7763249,2380000,3.261869
STI,STI,12/13/2013,7406676,3930458,1.884431
STI,STI,11/29/2013,8671461,3077079,2.818082
STI,STI,11/15/2013,9606380,3625618,2.649584
STI,STI,10/31/2013,7827024,4249565,1.841841
STI,STI,10/15/2013,8893003,3090893,2.877163
STI,STI,9/30/2013,9318370,4140660,2.250455
STI,STI,9/13/2013,7991254,3625737,2.204036
STI,STI,8/30/2013,8415942,2751435,3.058746
STI,STI,8/15/2013,9776879,2709255,3.608696
