filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
TTC,The,8/15/2014,772958,190355,4.060613
TTC,The,7/31/2014,780395,161235,4.840109
TTC,The,7/15/2014,741240,209375,3.540251
TTC,The,6/30/2014,786140,257825,3.049122
TTC,The,6/13/2014,738545,147754,4.998477
TTC,The,5/30/2014,713040,182576,3.905442
TTC,The,5/15/2014,735232,262607,2.799743
TTC,The,4/30/2014,731176,212515,3.440585
TTC,The,4/15/2014,691611,232398,2.975977
TTC,The,3/31/2014,897745,307927,2.915447
TTC,The,3/14/2014,760381,301513,2.521885
TTC,The,2/28/2014,773389,300681,2.572125
TTC,The,2/14/2014,960785,270892,3.546746
TTC,The,1/31/2014,916521,197770,4.634277
TTC,The,1/15/2014,676816,230897,2.931246
TTC,The,12/31/2013,657530,156672,4.196857
TTC,The,12/13/2013,656887,217606,3.018699
TTC,The,11/29/2013,905499,115592,7.833578
TTC,The,11/15/2013,901652,141125,6.389031
TTC,The,10/31/2013,829227,148693,5.576772
TTC,The,10/15/2013,721925,164994,4.375462
TTC,The,9/30/2013,679600,204680,3.320305
TTC,The,9/13/2013,824058,144865,5.688455
TTC,The,8/30/2013,790002,307029,2.573053
TTC,The,8/15/2013,610340,218430,2.794213
