filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
UNH,UNH,8/15/2014,22149914,3574398,6.196824
UNH,UNH,7/31/2014,20660206,4413435,4.681208
UNH,UNH,7/15/2014,20223313,3473394,5.822349
UNH,UNH,6/30/2014,20737003,4335214,4.783386
UNH,UNH,6/13/2014,20541172,2794019,7.351837
UNH,UNH,5/30/2014,18564493,2929260,6.337605
UNH,UNH,5/15/2014,17942591,4024513,4.458326
UNH,UNH,4/30/2014,19007471,6590017,2.884283
UNH,UNH,4/15/2014,20222349,4256860,4.750532
UNH,UNH,3/31/2014,19963186,6038615,3.305921
UNH,UNH,3/14/2014,18267778,3805459,4.800414
UNH,UNH,2/28/2014,17324077,5258881,3.294252
UNH,UNH,2/14/2014,19472149,5339732,3.646653
UNH,UNH,1/31/2014,19086802,5287282,3.609946
UNH,UNH,1/15/2014,22644312,5342642,4.238411
UNH,UNH,12/31/2013,15306190,3569759,4.287738
UNH,UNH,12/13/2013,16766805,4857834,3.451498
UNH,UNH,11/29/2013,16552524,3798437,4.357720
UNH,UNH,11/15/2013,17690862,3931083,4.500251
UNH,UNH,10/31/2013,15977686,9108895,1.754075
UNH,UNH,10/15/2013,14465992,4089523,3.537330
UNH,UNH,9/30/2013,14607638,5346360,2.732259
UNH,UNH,9/13/2013,17825730,3355997,5.311605
UNH,UNH,8/30/2013,23721818,3443687,6.888494
UNH,UNH,8/15/2013,16214824,2957332,5.482923
