filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
USNA,USNA,8/15/2014,2041959,149373,13.670201
USNA,USNA,7/31/2014,1864595,192046,9.709106
USNA,USNA,7/15/2014,1552598,118504,13.101651
USNA,USNA,6/30/2014,1606250,91259,17.601004
USNA,USNA,6/13/2014,1649283,112504,14.659772
USNA,USNA,5/30/2014,1666424,114778,14.518671
USNA,USNA,5/15/2014,1643003,190345,8.631711
USNA,USNA,4/30/2014,1926488,149782,12.861946
USNA,USNA,4/15/2014,2047240,167100,12.251586
USNA,USNA,3/31/2014,2249933,161722,13.912350
USNA,USNA,3/14/2014,2170905,197869,10.971426
USNA,USNA,2/28/2014,2165711,149176,14.517825
USNA,USNA,2/14/2014,2048023,205361,9.972794
USNA,USNA,1/31/2014,2010302,207643,9.681530
USNA,USNA,1/15/2014,1863705,125164,14.890104
USNA,USNA,12/31/2013,1869124,66582,28.072512
USNA,USNA,12/13/2013,1894132,67733,27.964685
USNA,USNA,11/29/2013,1934818,68057,28.429375
USNA,USNA,11/15/2013,1907747,76210,25.032765
USNA,USNA,10/31/2013,1820277,137215,13.265875
USNA,USNA,10/15/2013,1887097,57781,32.659473
USNA,USNA,9/30/2013,1945696,90653,21.463118
USNA,USNA,9/13/2013,1996294,80263,24.871909
USNA,USNA,8/30/2013,2047062,83047,24.649439
USNA,USNA,8/15/2013,2070684,181016,11.439232
