filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
WHG,WHG,8/15/2014,149817,18897,7.928084
WHG,WHG,7/31/2014,143645,26535,5.413416
WHG,WHG,7/15/2014,147881,13931,10.615247
WHG,WHG,6/30/2014,143467,17894,8.017604
WHG,WHG,6/13/2014,138467,22745,6.087800
WHG,WHG,5/30/2014,142480,22189,6.421200
WHG,WHG,5/15/2014,144349,17939,8.046658
WHG,WHG,4/30/2014,135587,15637,8.670909
WHG,WHG,4/15/2014,131702,16825,7.827756
WHG,WHG,3/31/2014,126117,22824,5.525631
WHG,WHG,3/14/2014,101884,19334,5.269680
WHG,WHG,2/28/2014,89820,22964,3.911339
WHG,WHG,2/14/2014,89932,23105,3.892318
WHG,WHG,1/31/2014,69187,23169,2.986188
WHG,WHG,1/15/2014,57440,23178,2.478212
WHG,WHG,12/31/2013,86631,60584,1.429932
WHG,WHG,12/13/2013,83053,23933,3.470229
WHG,WHG,11/29/2013,75511,11292,6.687124
WHG,WHG,11/15/2013,75082,20517,3.659502
WHG,WHG,10/31/2013,84926,21378,3.972589
WHG,WHG,10/15/2013,98918,13511,7.321294
WHG,WHG,9/30/2013,97595,11781,8.284102
WHG,WHG,9/13/2013,108680,19331,5.622058
WHG,WHG,8/30/2013,109298,9993,10.937456
WHG,WHG,8/15/2013,102596,6376,16.090966
