filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
ACN,ACN,9/15/2014,18079303,2143664,8.433832
ACN,ACN,8/29/2014,17604132,1712961,10.277019
ACN,ACN,8/15/2014,17492552,2345052,7.459345
ACN,ACN,7/31/2014,16999964,2263578,7.510218
ACN,ACN,7/15/2014,17393502,2371054,7.335768
ACN,ACN,6/30/2014,18029862,3375912,5.340738
ACN,ACN,6/13/2014,18224028,2310479,7.887554
ACN,ACN,5/30/2014,17054902,1776257,9.601596
ACN,ACN,5/15/2014,15796490,2257241,6.998141
ACN,ACN,4/30/2014,15303715,3018622,5.069769
ACN,ACN,4/15/2014,13807151,3797980,3.635393
ACN,ACN,3/31/2014,15746827,4454938,3.534690
ACN,ACN,3/14/2014,17247214,2051325,8.407841
ACN,ACN,2/28/2014,16844565,2355086,7.152420
ACN,ACN,2/14/2014,15265640,2628112,5.808596
ACN,ACN,1/31/2014,14029914,3304883,4.245207
ACN,ACN,1/15/2014,14649000,3405485,4.301590
ACN,ACN,12/31/2013,14758016,4345690,3.396012
ACN,ACN,12/13/2013,16497234,2752904,5.992666
ACN,ACN,11/29/2013,16804802,2285478,7.352861
ACN,ACN,11/15/2013,14156354,3709881,3.815851
ACN,ACN,10/31/2013,12003563,2993234,4.010232
ACN,ACN,10/15/2013,9438431,3009408,3.136308
