filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
ADMS,ADMS,9/15/2014,227801,29074,7.835214
ADMS,ADMS,8/29/2014,209192,24168,8.655743
ADMS,ADMS,8/15/2014,194927,40294,4.837619
ADMS,ADMS,7/31/2014,158001,84177,1.877009
ADMS,ADMS,7/15/2014,86615,83156,1.041597
ADMS,ADMS,6/30/2014,8209,77899,1.000000
ADMS,ADMS,6/13/2014,10871,30629,1.000000
ADMS,ADMS,5/30/2014,7294,52363,1.000000
ADMS,ADMS,5/15/2014,1983,86253,1.000000
ADMS,ADMS,4/30/2014,1899,49523,1.000000
ADMS,ADMS,4/15/2014,160200,243888,1.000000
