filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
ALE,ALE,9/15/2014,2411538,161004,14.978125
ALE,ALE,8/29/2014,3758696,139750,26.895857
ALE,ALE,8/15/2014,3737673,224232,16.668776
ALE,ALE,7/31/2014,3729783,184698,20.193954
ALE,ALE,7/15/2014,3736188,202338,18.465083
ALE,ALE,6/30/2014,3726589,257589,14.467190
ALE,ALE,6/13/2014,3622682,212413,17.054898
ALE,ALE,5/30/2014,3563265,225515,15.800568
ALE,ALE,5/15/2014,3554377,211154,16.833103
ALE,ALE,4/30/2014,3485391,232244,15.007453
ALE,ALE,4/15/2014,3531675,217481,16.239005
ALE,ALE,3/31/2014,3511032,281771,12.460587
ALE,ALE,3/14/2014,3406775,260923,13.056630
ALE,ALE,2/28/2014,711217,392044,1.814125
ALE,ALE,2/14/2014,745521,130784,5.700399
ALE,ALE,1/31/2014,724147,126954,5.704011
ALE,ALE,1/15/2014,760914,157633,4.827124
ALE,ALE,12/31/2013,700751,185081,3.786186
ALE,ALE,12/13/2013,558582,164869,3.388035
ALE,ALE,11/29/2013,676387,139731,4.840637
ALE,ALE,11/15/2013,713718,134864,5.292131
ALE,ALE,10/31/2013,800509,122057,6.558485
ALE,ALE,10/15/2013,852918,146888,5.806587
