filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
ALJ,ALJ,9/15/2014,7707777,1074131,7.175826
ALJ,ALJ,8/29/2014,7398541,919794,8.043693
ALJ,ALJ,8/15/2014,6598639,807626,8.170414
ALJ,ALJ,7/31/2014,6575494,779155,8.439263
ALJ,ALJ,7/15/2014,6634181,703361,9.432114
ALJ,ALJ,6/30/2014,6594232,681213,9.680132
ALJ,ALJ,6/13/2014,7044085,489104,14.402019
ALJ,ALJ,5/30/2014,7053061,421316,16.740549
ALJ,ALJ,5/15/2014,7451546,545682,13.655473
ALJ,ALJ,4/30/2014,6758763,734193,9.205703
ALJ,ALJ,4/15/2014,6467713,483164,13.386165
ALJ,ALJ,3/31/2014,6470559,438744,14.747915
ALJ,ALJ,3/14/2014,6394205,915905,6.981297
ALJ,ALJ,2/28/2014,6117973,543954,11.247225
ALJ,ALJ,2/14/2014,6576964,508675,12.929599
ALJ,ALJ,1/31/2014,6326235,638074,9.914579
ALJ,ALJ,1/15/2014,6503363,505586,12.863020
ALJ,ALJ,12/31/2013,6510080,539917,12.057557
ALJ,ALJ,12/13/2013,6620180,879753,7.525044
ALJ,ALJ,11/29/2013,6201787,595100,10.421420
ALJ,ALJ,11/15/2013,6837712,1021349,6.694785
ALJ,ALJ,10/31/2013,6066041,1277698,4.747633
ALJ,ALJ,10/15/2013,7131972,1020832,6.986431
