filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
ARWR,ARWR,9/15/2014,13025955,4046591,3.218995
ARWR,ARWR,8/29/2014,11271581,4261211,2.645159
ARWR,ARWR,8/15/2014,11497209,3998283,2.875537
ARWR,ARWR,7/31/2014,7009913,2214716,3.165152
ARWR,ARWR,7/15/2014,7125891,1702272,4.186106
ARWR,ARWR,6/30/2014,5486058,2962509,1.851828
ARWR,ARWR,6/13/2014,3704908,2426118,1.527093
ARWR,ARWR,5/30/2014,3874257,1448790,2.674133
ARWR,ARWR,5/15/2014,3625094,1372821,2.640617
ARWR,ARWR,4/30/2014,3149447,1687680,1.866140
ARWR,ARWR,4/15/2014,3215164,2641470,1.217187
ARWR,ARWR,3/31/2014,3296442,2514818,1.310807
ARWR,ARWR,3/14/2014,2194857,2468294,1.000000
ARWR,ARWR,2/28/2014,3369516,1732628,1.944743
ARWR,ARWR,2/14/2014,3275537,1331971,2.459165
ARWR,ARWR,1/31/2014,2077280,1080219,1.923017
ARWR,ARWR,1/15/2014,3518577,985116,3.571739
ARWR,ARWR,12/31/2013,4330414,863523,5.014822
ARWR,ARWR,12/13/2013,2259913,571110,3.957054
ARWR,ARWR,11/29/2013,1509622,237640,6.352558
ARWR,ARWR,11/15/2013,1718748,261076,6.583324
ARWR,ARWR,10/31/2013,1594659,653732,2.439316
ARWR,ARWR,10/15/2013,1197128,976983,1.225331
