filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CLMS,CLMS,9/15/2014,688516,71315,9.654575
CLMS,CLMS,8/29/2014,671884,89150,7.536556
CLMS,CLMS,8/15/2014,719949,117010,6.152884
CLMS,CLMS,7/31/2014,741650,128489,5.772089
CLMS,CLMS,7/15/2014,828917,107978,7.676721
CLMS,CLMS,6/30/2014,960591,96568,9.947301
CLMS,CLMS,6/13/2014,902567,119955,7.524213
CLMS,CLMS,5/30/2014,981246,159708,6.144000
CLMS,CLMS,5/15/2014,1018841,158734,6.418543
CLMS,CLMS,4/30/2014,962427,166768,5.771053
CLMS,CLMS,4/15/2014,1162432,186127,6.245370
CLMS,CLMS,3/31/2014,1186316,245208,4.837999
CLMS,CLMS,3/14/2014,1031894,272614,3.785183
CLMS,CLMS,2/28/2014,900284,227266,3.961367
CLMS,CLMS,2/14/2014,886274,163667,5.415105
CLMS,CLMS,1/31/2014,871795,170731,5.106249
CLMS,CLMS,1/15/2014,683999,95759,7.142921
CLMS,CLMS,12/31/2013,722895,158480,4.561427
CLMS,CLMS,12/13/2013,713619,110238,6.473439
CLMS,CLMS,11/29/2013,772400,194920,3.962651
CLMS,CLMS,11/15/2013,1245181,112189,11.098958
CLMS,CLMS,10/31/2013,1226513,180666,6.788842
CLMS,CLMS,10/15/2013,1151979,195697,5.886544
