filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
CPHD,CPHD,9/15/2014,8922651,732426,12.182324
CPHD,CPHD,8/29/2014,7837264,532773,14.710325
CPHD,CPHD,8/15/2014,8060099,527619,15.276362
CPHD,CPHD,7/31/2014,8893697,1068124,8.326465
CPHD,CPHD,7/15/2014,8919140,373737,23.864750
CPHD,CPHD,6/30/2014,8759918,373597,23.447506
CPHD,CPHD,6/13/2014,8707949,425274,20.476091
CPHD,CPHD,5/30/2014,8704301,503896,17.274003
CPHD,CPHD,5/15/2014,8758920,609022,14.381944
CPHD,CPHD,4/30/2014,8587694,933585,9.198620
CPHD,CPHD,4/15/2014,8851615,775091,11.420098
CPHD,CPHD,3/31/2014,9868467,642180,15.367135
CPHD,CPHD,3/14/2014,10050708,647521,15.521826
CPHD,CPHD,2/28/2014,10733381,691649,15.518538
CPHD,CPHD,2/14/2014,10823375,986854,10.967554
CPHD,CPHD,1/31/2014,10362831,826153,12.543477
CPHD,CPHD,1/15/2014,10178196,461136,22.072005
CPHD,CPHD,12/31/2013,10197649,554822,18.380037
CPHD,CPHD,12/13/2013,10617788,486116,21.842087
CPHD,CPHD,11/29/2013,10766287,407057,26.449089
CPHD,CPHD,11/15/2013,10566074,517856,20.403498
CPHD,CPHD,10/31/2013,9792151,761767,12.854522
CPHD,CPHD,10/15/2013,9147139,513304,17.820120
