filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
DLX,DLX,9/15/2014,4384642,225861,19.413011
DLX,DLX,8/29/2014,4084865,239237,17.074554
DLX,DLX,8/15/2014,3829853,235144,16.287267
DLX,DLX,7/31/2014,3632470,235377,15.432561
DLX,DLX,7/15/2014,3690189,210724,17.511954
DLX,DLX,6/30/2014,3819899,278240,13.728792
DLX,DLX,6/13/2014,3789971,307909,12.308737
DLX,DLX,5/30/2014,3541204,216454,16.360077
DLX,DLX,5/15/2014,3801741,377126,10.080824
DLX,DLX,4/30/2014,3295375,327712,10.055704
DLX,DLX,4/15/2014,3285339,350711,9.367653
DLX,DLX,3/31/2014,3227273,341442,9.451892
DLX,DLX,3/14/2014,3139180,438631,7.156767
DLX,DLX,2/28/2014,2835284,386845,7.329251
DLX,DLX,2/14/2014,2799373,433228,6.461662
DLX,DLX,1/31/2014,2860910,424575,6.738291
DLX,DLX,1/15/2014,3301554,349905,9.435573
DLX,DLX,12/31/2013,3242282,369868,8.766052
DLX,DLX,12/13/2013,3444392,420839,8.184584
DLX,DLX,11/29/2013,3130069,244832,12.784558
DLX,DLX,11/15/2013,3140896,291929,10.759109
DLX,DLX,10/31/2013,3717798,400136,9.291336
DLX,DLX,10/15/2013,3961338,445091,8.900063
