filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
DXYN,DXYN,9/15/2014,1093943,66010,16.572383
DXYN,DXYN,8/29/2014,1026339,95176,10.783590
DXYN,DXYN,8/15/2014,997066,153259,6.505758
DXYN,DXYN,7/31/2014,966701,169255,5.711506
DXYN,DXYN,7/15/2014,920812,181795,5.065112
DXYN,DXYN,6/30/2014,380058,303385,1.252725
DXYN,DXYN,6/13/2014,491372,153012,3.211330
DXYN,DXYN,5/30/2014,171677,205006,1.000000
DXYN,DXYN,5/15/2014,96379,220520,1.000000
DXYN,DXYN,4/30/2014,74697,66857,1.117265
DXYN,DXYN,4/15/2014,58165,97612,1.000000
DXYN,DXYN,3/31/2014,52094,80533,1.000000
DXYN,DXYN,3/14/2014,41036,93361,1.000000
DXYN,DXYN,2/28/2014,55775,121959,1.000000
DXYN,DXYN,2/14/2014,57025,56397,1.011135
DXYN,DXYN,1/31/2014,57853,46316,1.249093
DXYN,DXYN,1/15/2014,61362,82882,1.000000
DXYN,DXYN,12/31/2013,75097,49118,1.528910
DXYN,DXYN,12/13/2013,54350,81804,1.000000
DXYN,DXYN,11/29/2013,48382,51051,1.000000
DXYN,DXYN,11/15/2013,42094,76235,1.000000
DXYN,DXYN,10/31/2013,41381,107855,1.000000
DXYN,DXYN,10/15/2013,29167,47650,1.000000
