filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
EGHT,EGHT,9/15/2014,5838176,731303,7.983252
EGHT,EGHT,8/29/2014,6002755,427964,14.026308
EGHT,EGHT,8/15/2014,6236597,665454,9.371943
EGHT,EGHT,7/31/2014,6517960,1212645,5.374994
EGHT,EGHT,7/15/2014,6582638,829107,7.939431
EGHT,EGHT,6/30/2014,6375476,1372221,4.646100
EGHT,EGHT,6/13/2014,5871244,1318622,4.452560
EGHT,EGHT,5/30/2014,5965569,1900418,3.139083
EGHT,EGHT,5/15/2014,6210454,1163136,5.339405
EGHT,EGHT,4/30/2014,6423935,622384,10.321498
EGHT,EGHT,4/15/2014,6432048,784480,8.199123
EGHT,EGHT,3/31/2014,6327623,1072459,5.900107
EGHT,EGHT,3/14/2014,6570634,914670,7.183612
EGHT,EGHT,2/28/2014,4213089,2066105,2.039146
EGHT,EGHT,2/14/2014,4302156,636345,6.760729
EGHT,EGHT,1/31/2014,3822864,1031864,3.704814
EGHT,EGHT,1/15/2014,3719668,767321,4.847604
EGHT,EGHT,12/31/2013,3599978,1038648,3.466023
EGHT,EGHT,12/13/2013,2910196,817075,3.561724
EGHT,EGHT,11/29/2013,2858086,1185444,2.410984
EGHT,EGHT,11/15/2013,3745966,1437514,2.605864
EGHT,EGHT,10/31/2013,3861835,993248,3.888087
EGHT,EGHT,10/15/2013,4160967,554008,7.510662
