filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
EXP,EXP,9/15/2014,2419860,508655,4.757370
EXP,EXP,8/29/2014,2248198,421482,5.334031
EXP,EXP,8/15/2014,2014415,458805,4.390569
EXP,EXP,7/31/2014,1952844,820374,2.380431
EXP,EXP,7/15/2014,1796775,474466,3.786942
EXP,EXP,6/30/2014,1780045,605282,2.940852
EXP,EXP,6/13/2014,1750172,650582,2.690164
EXP,EXP,5/30/2014,1714937,693542,2.472723
EXP,EXP,5/15/2014,1558030,852062,1.828541
EXP,EXP,4/30/2014,1379949,829506,1.663579
EXP,EXP,4/15/2014,1338550,771284,1.735483
EXP,EXP,3/31/2014,1108774,597002,1.857237
EXP,EXP,3/14/2014,1385727,557175,2.487059
EXP,EXP,2/28/2014,1400399,577291,2.425811
EXP,EXP,2/14/2014,1515476,1237408,1.224718
EXP,EXP,1/31/2014,1482868,605289,2.449851
EXP,EXP,1/15/2014,1329311,492742,2.697783
EXP,EXP,12/31/2013,1189562,485257,2.451406
EXP,EXP,12/13/2013,1544682,586595,2.633302
EXP,EXP,11/29/2013,1694024,443548,3.819257
EXP,EXP,11/15/2013,1807876,580133,3.116313
EXP,EXP,10/31/2013,1975429,631297,3.129159
EXP,EXP,10/15/2013,1858884,791466,2.348659
