filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
FRGI,FRGI,9/15/2014,1619273,174588,9.274824
FRGI,FRGI,8/29/2014,1619448,199948,8.099346
FRGI,FRGI,8/15/2014,1514398,315676,4.797318
FRGI,FRGI,7/31/2014,1392277,285270,4.880559
FRGI,FRGI,7/15/2014,1170062,225308,5.193167
FRGI,FRGI,6/30/2014,1066524,275948,3.864946
FRGI,FRGI,6/13/2014,1102518,312357,3.529673
FRGI,FRGI,5/30/2014,1041307,234068,4.448737
FRGI,FRGI,5/15/2014,1036759,370848,2.795644
FRGI,FRGI,4/30/2014,1099762,319338,3.443881
FRGI,FRGI,4/15/2014,1110409,397032,2.796775
FRGI,FRGI,3/31/2014,1267678,293980,4.312123
FRGI,FRGI,3/14/2014,1234382,257002,4.803005
FRGI,FRGI,2/28/2014,1049238,365107,2.873782
FRGI,FRGI,2/14/2014,1002607,374227,2.679141
FRGI,FRGI,1/31/2014,877288,342270,2.563146
FRGI,FRGI,1/15/2014,1124179,277789,4.046881
FRGI,FRGI,12/31/2013,1250569,396697,3.152454
FRGI,FRGI,12/13/2013,1357699,405674,3.346774
FRGI,FRGI,11/29/2013,1063514,278436,3.819599
FRGI,FRGI,11/15/2013,892082,533370,1.672539
FRGI,FRGI,10/31/2013,878602,219696,3.999172
FRGI,FRGI,10/15/2013,875766,244003,3.589161
