filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
FTNT,FTNT,9/15/2014,4023070,1725179,2.331973
FTNT,FTNT,8/29/2014,4010374,1012370,3.961372
FTNT,FTNT,8/15/2014,4714761,1286350,3.665224
FTNT,FTNT,7/31/2014,4300513,2249626,1.911657
FTNT,FTNT,7/15/2014,4477171,1862581,2.403746
FTNT,FTNT,6/30/2014,4935535,1391521,3.546863
FTNT,FTNT,6/13/2014,5411063,1273243,4.249827
FTNT,FTNT,5/30/2014,4604187,1269383,3.627106
FTNT,FTNT,5/15/2014,4897628,2158693,2.268793
FTNT,FTNT,4/30/2014,5383522,3015366,1.785363
FTNT,FTNT,4/15/2014,6147242,2648367,2.321144
FTNT,FTNT,3/31/2014,6760244,1937929,3.488386
FTNT,FTNT,3/14/2014,7126928,1607627,4.433198
FTNT,FTNT,2/28/2014,7016583,2002837,3.503322
FTNT,FTNT,2/14/2014,6760892,2416389,2.797932
FTNT,FTNT,1/31/2014,6612189,6286689,1.051776
FTNT,FTNT,1/15/2014,2703521,4019084,1.000000
FTNT,FTNT,12/31/2013,2583405,2126074,1.215106
FTNT,FTNT,12/13/2013,3225972,3490594,1.000000
FTNT,FTNT,11/29/2013,3275855,2437015,1.344208
FTNT,FTNT,11/15/2013,3695514,1200903,3.077279
FTNT,FTNT,10/31/2013,3458642,2293307,1.508146
FTNT,FTNT,10/15/2013,3469077,2612203,1.328027
