filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
GSOL,GSOL,9/15/2014,393128,22760,17.272759
GSOL,GSOL,8/29/2014,403744,23423,17.237075
GSOL,GSOL,8/15/2014,415417,24647,16.854668
GSOL,GSOL,7/31/2014,474336,51834,9.151059
GSOL,GSOL,7/15/2014,465135,42834,10.859014
GSOL,GSOL,6/30/2014,521142,85121,6.122367
GSOL,GSOL,6/13/2014,670669,141818,4.729082
GSOL,GSOL,5/30/2014,1137423,116284,9.781423
GSOL,GSOL,5/15/2014,890432,100955,8.820088
GSOL,GSOL,4/30/2014,843076,67040,12.575716
GSOL,GSOL,4/15/2014,818677,71138,11.508294
GSOL,GSOL,3/31/2014,641240,147411,4.350015
GSOL,GSOL,3/14/2014,201930,147053,1.373178
GSOL,GSOL,2/28/2014,171319,38842,4.410664
GSOL,GSOL,2/14/2014,173659,46697,3.718847
GSOL,GSOL,1/31/2014,100581,36981,2.719802
GSOL,GSOL,1/15/2014,78906,31512,2.503998
GSOL,GSOL,12/31/2013,88705,30710,2.888473
GSOL,GSOL,12/13/2013,95283,24083,3.956442
GSOL,GSOL,11/29/2013,117421,25115,4.675333
GSOL,GSOL,11/15/2013,112643,36707,3.068706
GSOL,GSOL,10/31/2013,149423,44373,3.367431
GSOL,GSOL,10/15/2013,192822,37902,5.087383
