filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
HEI,HEI,9/15/2014,2274075,156208,14.557993
HEI,HEI,8/29/2014,2355599,177120,13.299452
HEI,HEI,8/15/2014,2274928,190370,11.950034
HEI,HEI,7/31/2014,2152732,192734,11.169446
HEI,HEI,7/15/2014,2176732,173673,12.533508
HEI,HEI,6/30/2014,2373666,302434,7.848542
HEI,HEI,6/13/2014,2288755,237534,9.635484
HEI,HEI,5/30/2014,2207418,232824,9.481059
HEI,HEI,5/15/2014,2366724,251419,9.413465
HEI,HEI,4/30/2014,2300436,178056,12.919733
HEI,HEI,4/15/2014,2144485,204787,10.471783
HEI,HEI,3/31/2014,2050034,191818,10.687391
HEI,HEI,3/14/2014,1952132,234120,8.338168
HEI,HEI,2/28/2014,1860808,296848,6.268555
HEI,HEI,2/14/2014,1816974,220189,8.251884
HEI,HEI,1/31/2014,1731480,208873,8.289631
HEI,HEI,1/15/2014,1656674,172628,9.596786
HEI,HEI,12/31/2013,1706032,238304,7.159057
HEI,HEI,12/13/2013,1726646,154323,11.188520
HEI,HEI,11/29/2013,1934710,138401,13.979017
HEI,HEI,11/15/2013,1919470,146605,13.092800
HEI,HEI,10/31/2013,2187152,163451,13.381087
HEI,HEI,10/15/2013,1737471,130213,13.343299
