filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
HFWA,HFWA,9/15/2014,699534,68658,10.188674
HFWA,HFWA,8/29/2014,659740,61835,10.669362
HFWA,HFWA,8/15/2014,593994,61174,9.709909
HFWA,HFWA,7/31/2014,671525,57669,11.644471
HFWA,HFWA,7/15/2014,763576,63982,11.934232
HFWA,HFWA,6/30/2014,973670,67900,14.339764
HFWA,HFWA,6/13/2014,946973,75758,12.499974
HFWA,HFWA,5/30/2014,964634,99446,9.700078
HFWA,HFWA,5/15/2014,1005404,78726,12.770927
HFWA,HFWA,4/30/2014,1960256,42619,45.994885
HFWA,HFWA,4/15/2014,1913627,50583,37.831426
HFWA,HFWA,3/31/2014,1834326,49641,36.951834
HFWA,HFWA,3/14/2014,1731588,51563,33.581987
HFWA,HFWA,2/28/2014,1645127,51637,31.859461
HFWA,HFWA,2/14/2014,1532765,59788,25.636666
HFWA,HFWA,1/31/2014,1425411,68784,20.723002
HFWA,HFWA,1/15/2014,1273349,64259,19.815886
HFWA,HFWA,12/31/2013,1065755,74601,14.286069
HFWA,HFWA,12/13/2013,969268,72079,13.447301
HFWA,HFWA,11/29/2013,727826,43578,16.701684
HFWA,HFWA,11/15/2013,603308,50296,11.995149
HFWA,HFWA,10/31/2013,581992,74729,7.788034
HFWA,HFWA,10/15/2013,297104,29125,10.200996
